Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,No Smoking signs & stickers,30/05/2022,"28,017.00",Konica Minolta Marketing Services,L4/503-505 Kent Street Sydney 2000,No,No,,,,,,,,,4302186166,General Goods and Services,,,30/05/2022,59108768083,30/06/2022,,
DoH_PD,33 Charlotte Street,Leadership Capability Assessment,31/05/2022,"18,099.40",Hudson Global Resources (Aust) P/L,"L19/20 BOND ST,  SYDNEY  NSW  2000",No,No,,,,,,,,,4302189320,General Goods and Services,PSC18-2017,,31/05/2022,21002888762,30/06/2022,,
DoH_PD,33 Charlotte Street,High level evidence brief,6/06/2022,"44,550.00",Menzies School Of Health Research,"Menzies School of Research, CASUARINA, 0811",No,No,,,,,,,,,4302205004,General Goods and Services,,,6/06/2022,70413542847,30/06/2022,,
DoH_PD,33 Charlotte Street,Sunscreen - Safer Schoolies Initiative,10/06/2022,"25,197.88",Vitality Brands Worldwide P/L,"L2/451 RIVERSDALE RD HAWTHORN EAST, VIC  3123",No,No,,,,,,,,,4302217354,General Goods and Services,,,10/06/2022,76098370195,30/06/2022,,
DoH_PD,33 Charlotte Street,Review & Update of CALD Resource,13/06/2022,"10,208.00",True Relationships & Reproductive,"BLDG 1 230 LUTWYCHE RD, WINDSOR  QLD  4030",No,No,,,,,,,,,4302219370,General Goods and Services,,,13/06/2022,61009860164,30/06/2022,,
DoH_PD,33 Charlotte Street,Web Publisher,13/06/2022,"23,100.00",Liquid Sky Pty Ltd,"131 WICKHAM TCE, SPRING HILL  QLD  4000",No,No,,,,,,,,,4302219364,General Goods and Services,,,13/06/2022,14091844503,31/10/2022,,
DoH_PD,33 Charlotte Street,Campaign material,16/06/2022,"26,928.00",Branded Products,"3/10 LAKEWOOD BVD, CARRUM DOWNS  VIC  3201",No,No,,,,,,,,,4302228929,General Goods and Services,,,16/06/2022,36367285695,30/06/2022,,
DoH_PD,33 Charlotte Street,Breast Screen Tosca Workshop,29/06/2022,"35,200.00",Tricentis Apac Pty Ltd,"L3/2-12 FOVEAUX ST, SURREY HILLS  NSW  2010",No,No,,,,,,,,,4302258564,General Goods and Services,,,29/06/2022,59143271130,30/06/2023,,
DoH_PD,33 Charlotte Street,UQ Project_N95 Mask Fitment,12/08/2021,"55,000.00",Griffith University,170 Kessels Rd  NATHAN QLD 4111,No,No,,,,,,,,,PD110258-1,General Goods & Services,,,12/08/2021,63942912684,30/12/2021,,
DoH_PD,33 Charlotte Street,Licence and Support Fees - Access My Health,1/10/2021,"1,287,972.40",Community Information Support,"L1/5 GREEN SQUARE CLOSE, FORTITUDE VALLEY  QLD  4006",No,No,,,,,,,,,PD112832,Information and Communication Technology,,,1/10/2021,30143384043,30/06/2022,,
DoH_PD,33 Charlotte Street,Training workforce in genomics,24/03/2022,"87,285.00",Check Up Australia,PO Box 3205  SOUTH BRISBANE QLD 4101,No,No,,,,,,,,,4302051731,General Goods & Services,,,24/03/2022,56123426111,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,25/04/2022,"22,400.77",Robert Walters Pty Ltd,L41/385 BOURKE ST  MELBOURNE VIC 3000,No,No,,,,,,,,,PD116555-1,General Goods & Services,,,25/04/2022,18079521618,26/06/2022,,
DoH_PD,33 Charlotte Street,Proof of Concept - best uses of data and decision support,14/04/2022,"291,500.00",Beamtree Pty Ltd,16 EVELEIGH ST  REDFERN NSW 2016,No,No,,,,,,,,,PD114114,Information and Communication Technology,,,14/04/2021,27139588088,14/01/2023,,
DoH_PD,33 Charlotte Street,Review processes for grant submissions,17/06/2022,"90,750.00",Australian Medical Research Solutions,109 BOLAN ST  BULIMBA QLD 4171,No,No,,,,,,,,,4302232296,General Goods & Services,,,17/06/2022,80984412760,30/06/2022,,
DoH_PD,33 Charlotte Street,Demonstration of sepsis prediction tool,20/06/2022,"110,000.00",Datarwe Pty Ltd,16 NEXUS WAY  SOUTHPORT QLD 4215,No,No,,,,,,,,,4302235212,General Goods & Services,,,20/06/2022,81631636952,30/06/2022,,
DoH_PD,33 Charlotte Street,Mob Link&Virtual Care Team COVID Service,10/06/2022,"880,000.00",Institute For Urban Indigenous,PO Box 5638  WEST END QLD 4101,No,No,,,,,,,,,PD116350,General Goods & Services,,,10/06/2022,32140019290,30/06/2022,,
DoH_PD,33 Charlotte Street,COVID Critical and ATERCOR Projects,1/07/2022,"330,000.00",The Prince Charles Hospital,GPO BOX 3175 BRISBANE QLD 4001,No,No,,,,,,,,,PD115399,General Goods & Services,,,1/07/2022,34853168302,30/06/2023,,
DoH_PD,33 Charlotte Street,Expansion CCHEP support CALD community,9/03/2022,"611,008.20",Mater Misericordiae Ltd,PO Box 8058 WOOLLOONGABBA QLD 4101,No,No,,,,,,,,,PD116345,General Goods & Services,,,9/03/2022,83096708922,31/12/2022,,
DoH_PD,33 Charlotte Street,Beyond Surviving to Thriving,10/05/2022,"33,000.00",The Change Agency Pty. Ltd.,PO Box 212  SAMFORD QLD 4520,No,No,,,,,,,,,,General Goods & Services,,,10/05/2022,71010905076,8/06/2022,,
DoH_PD,33 Charlotte Street,Employee Assistance Services,30/07/2021,"20,175.02",BENESTAR GROUP PTY LTD ,PO Box Q1436  SYDNEY NSW 1230,No,No,,,,,,,,,,General Goods & Services,,,30/07/2021,61003536472,18/02/2002,,
DoH_PD,33 Charlotte Street,Project Assurance services,4/02/2022,"178,860.00",Deloitte Touche Tohmatsu,L25  26 RIVERSIDE CNT 123 EAGLE ST  BRISBANE  QLD  4001,No,No,,,,,,,,,PD113757,General Goods & Services,,,4/02/2022,89690832091,30/11/2022,,
DoH_PD,33 Charlotte Street,Probity Advisory services,18/02/2022,"5,717.25",Management Options Pty Ltd,"76 Leone Street Bray Park, Qld, 4500",No,No,,,,,,,,,PD113802,General Goods & Services,,,18/02/2022,95109822406,17/11/2022,,
DoH_PD,33 Charlotte Street,Recruitment of Review Board members,7/03/2022,"89,760.00",Directors Australia Pty Ltd,"PO Box 3018, South Brisbane BC, Qld 4101",No,No,,,,,,,,,PD114069,General Goods & Services,,,7/03/2022,88096130577,1/09/2022,,
DoH_PD,33 Charlotte Street,Development of an online educational module for healthcare workers in Queensland,5/05/2022,"73,667.00",Queensland University Of Technology,GPO Box 2434 Brisbane  Qld  4001,Yes,No,,,,,,,,,PD113651,General Goods & Services,DET-SOA 69587,,5/05/2022,83791724622,30/11/2023,,
DoH_PD,33 Charlotte Street,Development of ICT system for Voluntary Assisted Dying Scheme,28/06/2022,"1,349,552.06",Modis Consulting Pty Ltd,"Level 19, 300 Adelaide Street",No,No,Open,,,,,,,,PD116184,Information and Communication Technology,SOA ICT9077,,28/06/2022,25076517354,27/06/2025,,
DoH_PD,33 Charlotte Street,Legal Fees,29/06/2021,"44,758.16",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods and Services,,,29/06/2021,91556716819,28/09/2021,,
DoH_PD,33 Charlotte Street,Database of Research Activity Institutional Repository Agreement,29/06/2021,"196,266.14",Ebsco Australia,LEVEL 8/132 ARTHUR STREET NORTH SYDNEY  NSW  2060,No,No,,,,,,,,,,Information and Communication Technology,,,29/06/2021,51002260602,28/06/2026,,
DoH_PD,33 Charlotte Street,Strategic Advisory Services - extension,23/09/2021,"104,500.00",Arun Sharma,6 Beeston Street Teneriffe  Qld 4005,Yes,No,,,,,,,,,"PD114206 
LN21/1163",General Goods and Services,"HIIRO Ref 
20190926",Second variation/ extension,26/09/2019,95361084195,29/09/2022,,
DoH_PD,33 Charlotte Street,Establish PARTNER Network ,1/03/2022,"4,502,876.40",University Of Melbourne,University of Melbourne  PARKVILLE  VIC  3010,No,No,Limited,a - (i) No tenders were submitted or no suppliers requested participation,,,,,,,PD113774,General Goods and Services,,,1/03/2022,84002705224,31/12/2026,,
DoH_PD,33 Charlotte Street,Design & Deliver National Evaluation,1/04/2022,"2,079,261.80",James Cook University,ANGUS SMITH DR TOWNSVILLE  QLD 4811,No,No,Limited,a - (i) No tenders were submitted or no suppliers requested participation,,,,,,,PD113865-1,General Goods and Services,,,1/04/2022,46253211955,31/12/2026,,
DoH_PD,33 Charlotte Street,Design & Deliver National Evaluation,1/04/2022,"2,079,261.80",Queensland University Of Technology,L2/88 MUSK AVE KELVIN GROVE   QLD  4059,No,No,Limited,a - (i) No tenders were submitted or no suppliers requested participation,,,,,,,PD113865,General Goods and Services,,,1/04/2022,83791724622,31/12/2026,,
DoH_PD,33 Charlotte Street,Facilitator Clinical Trials Workshops,1/04/2022,"89,100.00",Shape Consulting Pty Ltd,"L 15/10 Market Street, Brisbane Qld 4000",No,No,,,,,,,,,4302194688,General Goods and Services,,,30/06/2022,60618514426,30/06/2022,,
DoH_PD,33 Charlotte Street,Conference fees,22/04/2022,"13,565.00",ARCS AUSTRALIA LIMITED,SE 802 28 CLARKE ST / CROWS NEST NSW 2065,No,No,,,,,,,,,,General Goods and Services,,,22/04/2022,25050334444,13/05/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,24/05/2022,"72,849.38",Hays Specialist Recruitment (Aust),L11/2 CHIFLEY SQ SYDNEY   NSW  2000,No,No,,,,,,,,,PD106402-3,General Goods and Services,GGS0060,,24/05/2022,47001407281,24/10/2022,,
DoH_PD,33 Charlotte Street,"Website creation, training & hosting",24/05/2022,"12,375.00",Digital8 Projects Pty Ltd,17 CORDELIA ST SOUTH BRISBANE  QLD 4101,No,No,,,,,,,,,4302175498,General Goods and Services,,,24/05/2022,56617663546,30/06/2022,,
DoH_PD,33 Charlotte Street,National Community Engagement Plan Development,2/06/2022,"30,346.80",Consumers Health Forum Of Australia,PO Box 73 DEAKIN WEST ACT 2600,No,No,,,,,,,,,4302197989,General Goods and Services,,,2/06/2022,82146988927,30/07/2022,,
DoH_PD,33 Charlotte Street,Industry Insight Service for Teletrials,17/06/2022,"415,525.00",Iqvia Solutions Aust P/L,L 8/201 PACIFIC HWY ST LEONARDS  NSW  2065,No,No,,,,,,,,,PD116488,General Goods and Services,,,17/06/2022,19000967859,15/12/2022,,
DoH_PD,33 Charlotte Street,QHPDC International Symposium,17/06/2022,"24,475.00",James Cook University,1 JAMES COOK DRIVE DOUGLAS QLD 4811,No,No,,,,,,,,,LN22/529,General Goods and Services,,,17/06/2022,46253211955,19/08/2022,,
DoH_PD,33 Charlotte Street,Subscription licence to access Pharma Industry Intelligence Centre for Clinical Trials,22/06/2022,"112,616.81",GlobalData Uk Ltd,"John Carpenter House, John Carpenter Street, London, EC4Y OAN",No,No,,,,,,,,,,Information and Communication Technology,,,22/06/2022,,21/06/2024,,
DoH_PD,33 Charlotte Street,Website content design and copyright services,13/05/2022,"21,940.55",New Word Order Pty Ltd,205 JULIETTE ST GREENSLOPES  QLD  4120,No,No,,,,,,,,,PD117261,Information and Communication Technology,QGP0056-18,,13/05/2022,31650589950,30/06/2022,,
DoH_PD,33 Charlotte Street,Education & training for clinical trials,30/06/2022,"70,039.20",Praxis Australia Limited,129 GLEN OSMOND RD EASTWOOD  SA  5063,No,No,,,,,,,,,4302261969,General Goods and Services,QGP0050-18,,30/06/2022,14605478911,30/06/2022,,
DoH_PD,33 Charlotte Street,Marquee hire and equipment ,10/06/2021,"33,328.19",Queensland Hire,195 Musgrave Road Coopers Plains  Qld  4108,No,No,,,,,,,,,,General Goods and Services,,,10/06/2021,69647146352,19/10/2021,,
DoH_PD,33 Charlotte Street,Vaccination Hub,11/06/2021,"35,381.50",St Johns Ambulance,225 ST PAULS TCE FORTITUDE VALLEY  QLD  4006,No,No,,,,,,,,,4301438700,General Goods and Services,,,11/06/2021,74264019231,23/06/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,14/06/2021,"11,792.00",Cryolux Australia,EPPING RD SYDNEY NSW 2113,No,No,,,,,,,,,,General Goods and Services,,,14/06/2021,26627872754,19/10/2021,,
DoH_PD,33 Charlotte Street,Signage and forms vaccination centres,17/06/2021,"17,246.28",Colour Chiefs Pty Ltd,41 VICTORIA ST WINDSOR  QLD  4030,No,No,,,,,,,,,,General Goods and Services,,,10/08/2021,13082488695,15/10/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration,25/06/2021,"57,181.52",Csk Group And Labtronics,5/38 LIMESTONE ST DARRA  QLD  4076,No,No,,,,,,,,,,General Goods and Services,,,25/06/2021,59631846654,22/09/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,6/07/2021,"30,919.06",Onsolution Pty Ltd,l17/7 HOYLE AVE CASTLE HILL NSW  2154,No,No,,,,,,,,,,General Goods and Services,,,6/07/2021,59631846654,21/10/2021,,
DoH_PD,33 Charlotte Street,Travel Air Fares,20/07/2021,"14,439.88",QANTAS Airways Limited,PO Box 766 BRISBANE  QLD  4001,No,No,,,,,,,,,,General Goods & Services,,,20/07/2022,16009661901,23/11/2021,,
DoH_PD,33 Charlotte Street,Promotional products,30/07/2021,"53,234.39",Corporate Designs Pty Ltd,15 TOMBO ST  CAPALABA QLD 4157,No,No,,,,,,,,,,General Goods and Services,,,30/07/2021,45072203788,19/10/2021,,
DoH_PD,33 Charlotte Street,Temporary Contractor,1/08/2021,"10,942.40",Hudson Global Resources (Aust) P/L,GPO BOX 3951  SYDNEY NSW 2001,No,No,,,,,,,,,,General Goods and Services,,,1/08/2021,21002888762,15/08/2021,,
DoH_PD,33 Charlotte Street,Workforce & supply review COVID vaccine,2/08/2021,"1,990,647.45",Kpmg,"LVL 16, RIPARIAN PLAZA, 71 EAGLE ST, BRISBANE   QLD  4000",No,No,Open,,,,,,,,PD111884,General Goods and Services,QG0050-18 (T1),,2/08/2021,51194660183,3/12/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,10/08/2021,"18,386.50",Enlake Enterprises,110 GLOUCESTER ST  TEMORA NSW 2666,No,No,,,,,,,,,,General Goods and Services,,,10/08/2021,43282343478,19/10/2021,,
DoH_PD,33 Charlotte Street,Office Supplies & consumables for Vaccinne hubs and sites,10/08/2021,"14,815.58",OFFICEWORKS LTD,"236-262 E Boundary Rd, Bentleigh East VIC 3165",No,No,,,,,,,,,,General Goods and Services,,,10/08/2021,36004763526,23/11/2021,,
DoH_PD,33 Charlotte Street,Printing of promotional material,18/08/2021,"119,821.59",Konica Minolta Marketing Services,L 2/383 GEORGE ST  SYDNEY NSW 2000,No,No,,,,,,,,,,General Goods and Services,,,18/08/2021,59108768083,28/10/2021,,
DoH_PD,33 Charlotte Street,Refrigeration materials,30/08/2021,"19,580.00",Rollex Group Australia Pty Ltd,11 VANGELI ST ARNDELL PARK  NSW  2148,No,No,,,,,,,,,4301401353,General Goods and Services,,,30/08/2021,40138988315,30/08/2021,,
DoH_PD,33 Charlotte Street,Office Stationary & consumables,31/08/2022,"12,409.10",Winc Australia Pty Ltd,Private Bag 16  ALEXANDRIA NSW 1435,No,No,,,,,,,,,,General Goods and Services,,,31/08/2022,94000728398,6/04/2022,,
DoH_PD,33 Charlotte Street,Signature polos & vests,3/09/2021,"77,834.35",Corporate Designs Pty Ltd,15 TOMBO ST  CAPALABA QLD 4157,No,No,,,,,,,,,,General Goods and Services,,,3/09/2021,45072203788,27/10/2021,,
DoH_PD,33 Charlotte Street,Despatch clinical supplies for Qld vax sites,5/09/2021,"12,409.38",Toll Global Express,Locked Bag 7002  RICHMOND EAST VIC 3121,No,No,,,,,,,,,,General Goods and Services,,,5/09/2021,15084157666,21/09/2021,,
DoH_PD,33 Charlotte Street,Printing vaccine material,7/09/2021,"22,793.51",ERGO ASIA PTY LTD (Konica Minolta),"Level 2, 383 George Street, SYDNEY NSW 2000",No,No,,,,,,,,,,General Goods and Services,,,7/09/2021,21001190969,22/10/2021,,
DoH_PD,33 Charlotte Street,Vaccine transfers to various sites ,7/09/2021,"17,726.40",Road Runner Courier (Courier Express Service),"Unit 3C, 400 Nudgee Road, HENDRA QLD 4011 / PO BOX 3097 HENDRA QLD 4011",No,No,,,,,,,,,,General Goods and Services,,,7/09/2021,96873953196,15/10/2021,,
DoH_PD,33 Charlotte Street,Vaccination Site Design & Fitout,16/09/2021,"73,818.68",Exponet Exhibitions & Events,17 LOCHLARNEY ST BEENLEIGH  QLD  4207,No,No,,,,,,,,,4301657745,General Goods and Services,,,16/09/2021,45132935105,17/09/2021,,
DoH_PD,33 Charlotte Street,Equipment Vaccination Hubs & Mobile clinics,16/09/2021,"65,442.52",Csk Group And Labtronics,5/38 LIMESTONE ST DARRA  QLD  4076,No,No,,,,,,,,,,General Goods and Services,,,16/09/2021,59631846654,19/11/2021,,
DoH_PD,33 Charlotte Street,Communications equipment Vaccination Site,17/09/2021,"26,921.95",Trans Communications Pty Ltd,3/12 Webster Road Stafford  Qld  4053,No,No,,,,,,,,,4301659081,General Goods and Services,,,17/09/2021,86099104462,17/09/2021,,
DoH_PD,33 Charlotte Street,Furniture for Vaccination Site,17/09/2021,"32,182.70",Select Patient Care,5 Industrial Avenue Maryborough  Qld  4650,No,No,,,,,,,,,4301659094,General Goods and Services,,,17/09/2021,68619475197,17/09/2021,,
DoH_PD,33 Charlotte Street,Temporary Contractor,26/09/2021,"10,364.30",Davidson Recruitment Pty Ltd,GPO BOX 2572  BRISBANE QLD 4000,No,No,,,,,,,,,,General Goods and Services,,,26/09/2021,50167132523,17/10/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,5/10/2021,"14,076.46",Rapp Australia Pty Ltd,PO Box 120  LARA VIC 3212,No,No,,,,,,,,,4301693586,General Goods and Services,,,5/10/2021,35054189365,6/10/2021,,
DoH_PD,33 Charlotte Street,Marquee hire and equipment ,6/10/2022,"11,436.92",Sss Australia,PO Box 3304  TINGALPA DC QLD 4173,No,No,,,,,,,,,,General Goods and Services,,,6/10/2021,77168062308,21/10/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,6/10/2022,"14,036.00",Leisure-Tec Australia Pty Ltd,50 METROLINK CCT CAMPBELLFIELD VIC 3061,No,No,,,,,,,,,,General Goods and Services,,,6/10/2022,58616487435,22/10/2022,,
DoH_PD,33 Charlotte Street,Communications equipment Vaccination Site,8/10/2021,"10,565.06",Trans Communications Pty Ltd,3/12 Webster Road Stafford  Qld  4053,No,No,,,,,,,,,,General Goods and Services,,,8/10/2021,86099104462,23/11/2021,,
DoH_PD,33 Charlotte Street,Pop up clinics - trolley bins for clinical kits,13/10/2021,"28,138.00",Manual Handling Australia,PO Box 2157  NORTH PARRAMATTA NSW 1750,No,No,,,,,,,,,,General Goods and Services,,,13/10/2021,38368064476,27/10/2021,,
DoH_PD,33 Charlotte Street,Lease Mackay showground - Vax Program,13/10/2021,"45,933.00",Explore Property Commercial,224 VICTORIA ST  MACKAY QLD 4740,No,No,,,,,,,,,,General Goods and Services,,,13/10/2021,17619351352,27/10/2021,,
DoH_PD,33 Charlotte Street,Accomodation costs,15/10/2021,"12,338.24",AIRBNB,"Level 4, 60-64 Reservoir Street, SURRY HILLS NSW 2010",No,No,,,,,,,,,,General Goods and Services,,,15/10/2021,96153841493,15/10/2021,,
DoH_PD,33 Charlotte Street,Promotional products,18/10/2021,"346,500.00",Trusports,589 RUTHVEN ST TOOWOOMBA   QLD  4350,No,No,,,,,,,,,4301722432,General Goods and Services,,,18/10/2021,32239376153,20/01/2022,,
DoH_PD,33 Charlotte Street,Promotional products,19/10/2021,"256,850.00",Struddys Apparel Co Pty Ltd,82 BRYANTS RD LOGANHOLME  QLD 4129,No,No,,,,,,,,,4301728245,General Goods and Services,,,19/10/2021,97010396513,30/11/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,19/10/2021,"31,243.87",Iceepak Australia,34 Tombarra Street MOOLOOLABA QLD 4557,No,No,,,,,,,,,,General Goods and Services,,,19/10/2021,41638620550,21/10/2021,,
DoH_PD,33 Charlotte Street,Promotional products,20/10/2021,"286,000.00",Variety Transport Pty Ltd,5/3 FERMONT RD UNDERWOOD  Q  4119,No,No,,,,,,,,,4301730263,General Goods and Services,,,20/10/2021,59010985234,20/10/2021,,
DoH_PD,33 Charlotte Street,Printing and promotional material,22/10/2022,"25,685.00",PRINT247 PTY LTD (Ditto Press),PO BOX 306 WEST BURLEIGH QLD 4219,No,No,,,,,,,,,,General Goods & Services,,,22/10/2021,44149190698,22/10/2021,,
DoH_PD,33 Charlotte Street,Criminal History Checks,26/10/2021,"37,647.50",Volunteering Queensland,12/27 CREEK ST BRISBANE QLD 4000,No,No,,,,,,,,,4301742017,General Goods and Services,,,26/10/2021,46621632398,31/12/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,26/10/2021,"36,080.00",Bioline Global Pty Ltd,PO Box 873 NARELLAN NSW 2567,No,No,,,,,,,,,,General Goods and Services,,,26/10/2021,46160729082,26/10/2021,,
DoH_PD,33 Charlotte Street,Vaccine Refrigeration materials,20/01/2022,"24,310.00",Bioline Global Pty Ltd,PO Box 873 NARELLAN NSW 2567,No,No,,,,,,,,,,General Goods and Services,,,26/10/2021,46160729082,26/10/2021,,
DoH_PD,33 Charlotte Street,Provision of aviation subject matter advice and undertaking audits,20/04/2021,"66,000.00",TECHSAFE AVIATION PTY LTD,BLDG 108.3  DA VINCI BUSINESS PARK Brisbane Airport  QLD  4009,No,No,,,,,,,,,PD109291,General Goods & Services,,,20/04/2021,24167390445,30/06/2022,,
DoH_PD,33 Charlotte Street,Highly specialised independent negotiation service,1/10/2021,"78,787.50",I-Solutions Consulting Pty. Ltd,36 SHRAPNEL RD CANNON HILL QLD 4170,No,No,,,,,,,,,PD111769,General Goods & Services,,,1/10/2021,88120618475,30/06/2022,,
DoH_PD,33 Charlotte Street,Procurement and probity advice for new RFDS agreement,18/10/2021,"44,000.00",ConnellGriffin Pty Ltd ,L7/360 Kent Street Sydney   NSW  2000,No,No,,,,,,,,,PD111844,General Goods & Services,QGP0050-18,,18/10/2021,78162085592,30/06/2022,,
DoH_PD,33 Charlotte Street,Standby Jet for COVID-19 ,1/11/2021,"2,050,301.76",Lifeflight Commercial Limited,PO Box 15166  CITY EAST QLD 4002 ,No,No,Limited,"i - Strictly necessary for reasons of extreme urgency brought about by events unforeseeable by the procuring entity, the good or service could not be obtained in time by means of open or selective tendering",,,,,,,PD91799,General Goods and Services,HSQ87340,,1/11/2021,45010316462,30/06/2022,,
DoH_PD,33 Charlotte Street,Highly specialised independent financial advice,25/11/2021,"102,661.90",Deloitte Financial Advisory P/L,GPO Box 1463  Brisbane  Qld 4001,No,No,,,,,,,,,PD113008,General Goods and Services,QGP0050-18,,25/11/2021,83611749841,24/06/2022,,
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services,15/12/2021,"2,411,535.84",Aspen Medical Pty Ltd,PO Box 231  Deakin West ACT 2600 ,Yes,No,Limited,"i - Strictly necessary for reasons of extreme urgency brought about by events unforeseeable by the procuring entity, the good or service could not be obtained in time by means of open or selective tendering",,,,,,,PD91801,General Goods & Services,HSQ87340,,1/01/2022,32105250413,30/06/2022,,
DoH_PD,33 Charlotte Street,Standby Jet for COVID-19 ,14/01/2022,"2,925,495.82",Aspen Medical Pty Ltd,PO Box 231  Deakin West ACT 2600 ,No,No,Limited,"i - Strictly necessary for reasons of extreme urgency brought about by events unforeseeable by the procuring entity, the good or service could not be obtained in time by means of open or selective tendering",,,,,,,PD91801,General Goods and Services,HSQ87340,,14/01/2022,32105250413,30/06/2022,,
DoH_PD,33 Charlotte Street,Legal Advice ,1/01/2022,"5,577.00",Corrs Chambers Westgarth,"L35/1, EAGLE ST, BRISBANE  QLD  4000",Yes,No,,,,,,,,,PD111484,General Goods & Services,QGP0059-19,,1/01/2022,89690832091,31/03/2022,,
DoH_PD,33 Charlotte Street,ICT Products & Service for AMBFlight Software,1/01/2022,"240,695.40",Innocast Pty Ltd,138 Juliette Street Greenslopes Qld 4120,No,No,,,,,,,,,PD113137,Information and Communication Technology,,,1/01/2022,29329360573,31/12/2024,,
DoH_PD,33 Charlotte Street,Probity Advisor,18/01/2021,"26,188.14",Charles Kendall Australia Pty Ltd,"Level 9, 144 Edward Street, Brisbane  Qld 4000",No,No,,,,,,,,,PD111522,General Goods & Services,QGP0050-18,,18/01/2022,89690832091,30/09/2022,,
DoH_PD,33 Charlotte Street,"Licence fee, software support and application development",24/11/2016,"644,662.79",SPECTRUM DATA SYSTEMS INTERNATIONAL PTY. LTD.,"PO Box 7251, East Brisbane QLD  4169",No,No,,,,,,,,,PD83821,Information and Communication Technology,,,24/11/2016,61096657804,31/12/2021,,
DoH_PD,33 Charlotte Street,Meeting expenses and assessor fees,20/07/2021,"8,220.00",Ian Hawke Consulting,6 KOBADA ST TARINGA   QLD 4068,Yes,No,,,,,,,,,4301007533,General Goods & Services,,,20/07/2021,76704058894,30/06/2022,,
DoH_PD,33 Charlotte Street,Consumer Communications Plan,25/11/2021,"52,515.65",Mediacom Australia Pty Ltd,L1/108 Wickham Street FORTITUDE VALLEY  QLD  4006,No,No,,,,,,,,,4301813270,General Goods and Services,DPC-88-2017,,1/11/2021,37000421018,1/03/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,13/12/2021,"45,738.00",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-28,General Goods and Services,GGS0060,,13/12/2021,21002888762,29/04/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,14/12/2021,"85,614.29",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-27,General Goods and Services,GGS0060,,14/12/2021,21002888762,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,17/01/2022,"76,884.67",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,,PD106403-13,General Goods and Services,GGS0060,,17/01/2022,21002888762,31/05/2022,,
DoH_PD,33 Charlotte Street,HIV POCT 2021 Quality Assurance Program,26/10/2021,"11,106.70",Rcpa Quality Assurance,201/8 Herbert Street St Leonards 2065,No,No,,,,,,,,,4301085747,General Goods & Services,,,26/10/2021,32003520072,31/12/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,25/10/2021,"184,304.42",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-32,Information and Communication Technology,GGS0060,,25/10/2021,70600569784,30/06/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/11/2021,"191,773.62",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-33,Information and Communication Technology,GGS0060,,1/11/2021,70600569784,30/06/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/11/2021,"164,964.44",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-21,Information and Communication Technology,GGS0060,,1/11/2021,70600569784,30/06/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/11/2021,"206,655.15",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-26,Information and Communication Technology,GGS0060,,1/11/2021,70600569784,30/06/2022,,
