Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,Procurement and probity advice for new long term agreements,20/05/2022,"101,196.70",ConnellGriffin Pty Ltd ,L7/360 Kent Street Sydney   NSW  2000,Yes,No,,,,,,,,,PD111844,General Goods & Services,QGP0050-18,,20/05/2022,78162085592,30/09/2022,,
DoH_PD,33 Charlotte Street,Insurance cover,13/06/2022,"151,250.00",Marsh Pty Ltd,"Level 13, 111 Eagle Street, Brisbane  QLD  4000",No,No,,,,,,,,,,General Goods & Services,,,13/06/2022,31081358303,27/06/2022,,
DoH_PD,33 Charlotte Street,"Standing Offer Arrangement for the provision of fixed wing, pre-hospital and Inter-facility Transfer retrieval services ",24/06/2022,"1,046,760,000.00",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,Standing offer arrangement,,,Provision of long distance/high acuity air ambulance services,,Managed through contract meetings and Key Performance Indicators,PD114804,General Goods & Services,PD114804,,1/07/2022,45010316462,30/06/2032,,
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services contract,1/07/2018,"1,043,166.38",Lifeflight Commercial Limited,PO Box 15166  CITY EAST QLD 4002 ,No,No,Open,,standing offer arrangement,,,,,,PD91799,General Goods and Services,HSQ87340,,1/07/2018,45010316462,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,7/03/2022,"85,731.36",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-29,General Goods and Services,GGS0060,,7/03/2022,21002888762,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,7/03/2022,"81,444.79",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-30,General Goods and Services,GGS0060,,7/03/2022,21002888762,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,24/03/2022,"40,976.41",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-31,General Goods and Services,GGS0060,,24/03/2022,21002888762,15/07/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,4/04/2022,"57,364.45",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-32,General Goods and Services,GGS0060,,4/04/2022,21002888762,30/06/2022,,
DoH_PD,33 Charlotte Street,Contribution to National Audit Data Manager role for 21/22,7/04/2022,"12,458.60",Health Education & Training,Locked Bag 7118  PARRAMATTA NSW 2124,No,No,,,,,,,,,,General Goods and Services,,,7/04/2022,82914196002,3/05/2022,,
DoH_PD,33 Charlotte Street,Extension of contract for Electronic List of Approved Medicines Solution,27/04/2022,"682,159.50",HEALTHCARE SOFTWARE PTY LTD,"L10/39, Murray Street HOBART  TAS  7000",Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,PD94309,Information and Communication Technology,Q19244,,27/04/2022,75094641755,27/09/2025,,
DoH_PD,33 Charlotte Street,Membership fees,29/04/2022,"10,120.00",Hg Leadership Pty Ltd,"SE 8  L 2  1 MCLAREN ST, NORTH SYDNEY  NSW  2059",No,No,,,,,,,,,4302123751,General Goods and Services,,,29/04/2022,56627036855,30/06/2022,,
