Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Provision of Wellbeing at Work training to medical interns in Qld,16/12/2019,507941.50,THE QUEENSLAND BRANCH OF AUSTRALIAN MEDICAL ASSOCIATION LIMITED,PO Box 123  Red Hill QLD 4059 ,Yes,No,Limited,,,,,,,PD90842,,,16/12/2019,31/12/2021,
DoH_PD,33 Charlotte Street,Integration of the National Data Exchange (NDE) component of the National Real Time Prescription Monitoring (RTPM) system to the jurisdiction,24/10/2019,1923952.80,FRED IT & COMMONWEATLH DEPARTMENT OF HEALTH,20 Trenerry Crst ABBOTSFORD VIC 3067,No,No,Limited,,,,,,,PD102753,,,24/10/2019,13/09/2021,68109546901
DoH_PD,33 Charlotte Street,Temporary Contractor ,23/03/2020,38427.14,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,Select,,,,,,,PD77110-25,,PTD0007-14,23/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor ,9/03/2020,54520.05,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,Select,,,,,,,PD82774-37,,PTD0007-14,9/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor ,23/03/2020,64460.00,Solute Pty Ltd,L 8 MAtisse Tower 110 Mary St Brisbane QLD  4000 ,No,No,Select,,,,,,,PD104704,,PTD0007-14,23/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor ,17/03/2020,60390.00,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,Select,,,,,,,PD82774-40,,PTD0007-14,17/03/2020,25/09/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor ,30/03/2020,41393.00,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-42,,PTD0007-14,30/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2019,99349.80,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-15,,PTD0007-14,1/07/2019,30/06/2020,
DoH_PD,33 Charlotte Street,Development of Communicatons and Engagement Recommendations report for Qscript,9/06/2020,51700.00,TSA MANAGEMENT ,L16/207 Kent Street SYDNEY NSW 2000,No,No,Select,,,,,,,4300660944,,QGP-0050-18,9/06/2020,30/06/2020,71099000272
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2019,1048852.02,Asp Healthcare Pty Ltd,17 HARRIS ST ST MARYS  NSW  2760,No,No,Open,,,,,,,PD111156,Medical,QNSP15,1/07/2019,30/06/2020,45108259329
