Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,Provision of facilitator and evaluation services,17/10/2022,"10,230.00",Reveur Asia Pacific Pty Ltd(,PO Box 766 CALOUNDRA  QLD  4551,No,No,,,,,,,,,4302527723,General Good and Services,QGP0050-18,,17/10/2022,94143719724,11/11/2022
DoH_PD,33 Charlotte Street,Fee Recovery Services,14/07/2022,"36,159.24",Australian Receivables Ltd,PO Box 14390  MELBOURNE VIC 8001,No,No,,,,,,,,,,General Goods & Services,,,14/07/2022,96103234653,16/11/2022
DoH_PD,33 Charlotte Street,VAD Forum - Venue rental ,29/06/2022,"56,174.00",Brisbane Convention & Exhibition Centre,CNR MERIVALE & GLENELG STS SOUTH BANK  QLD  4101,No,No,,,,,,,,,,General Goods & Services,,,29/06/2022,1900175392,29/10/2022
DoH_PD,33 Charlotte Street,Legal fees,29/06/2022,"12,317.80",Norton Rose Fulbright,"Level 21, 111 Eagle Street Brisbane  Qld 4000",No,No,,,,,,,,,,General Goods & Services,,,29/06/2022,32720868049,29/08/2022
DoH_PD,33 Charlotte Street,Course fees,20/07/2022,"13,033.90",Australian Institute Of Company,"Level 30, 20 Bond Street, Sydney  NSW  2000",No,No,,,,,,,,,,Information and Communication Technology,,,20/07/2022,11008484197,25/07/2022
DoH_PD,33 Charlotte Street,Digital Packs for 758 GP Practices VAD,28/09/2022,"31,667.72",Mediacom Australia Pty Ltd,"Level 1, 108 Wickham Street, Brisbane  Qld  4000",No,No,,,,,,,,,,General Goods & Services,,,28/09/2022,37000421018,13/10/2022
DoH_PD,33 Charlotte Street,Development of ICT system for Voluntary Assisted Dying Scheme,20/09/2022,"259,684.60",Modis Consulting Pty Ltd,"Level 19, 300 Adelaide Street",Yes,No,,,,,,,,,PD116184,Information and Communication Technology,SOA ICT9077,,20/09/2022,25076517354,27/06/2025
DoH_PD,33 Charlotte Street,ATHENA Program Economic Modelling,29/06/2022,"79,750.00",Triple Innovation Pty Ltd,SE 703 L7 155 KING ST / SYDNEY NSW 2000,No,No,,,,,,,,,,General Goods and Services,,,29/06/2022,40627615507,25/11/2022
DoH_PD,33 Charlotte Street,Clinical Trials Education and Training Sessions,27/04/2022,"38,390.00",Arcs Aust Limited(3022086),SE 802 28 CLARKE ST CROWS NEST NSW 2065,No,No,,,,,,,,,,General Goods and Services,,,27/04/2022,25050334444,30/06/2022
DoH_PD,33 Charlotte Street,Travel & Accomodation expenses,15/07/2022,"11,494.67",HRS Australasia Pty Ltd,"Level 35/03 60 Margaret St, Sydney NSW 2000",No,No,,,,,,,,,,General Goods & Services,,,15/07/2022,42006852991,9/12/2022
DoH_PD,33 Charlotte Street,Travel Air Fares,26/07/2022,"14,702.66",QANTAS Airways Limited,PO Box 766 BRISBANE  QLD  4001,No,No,,,,,,,,,,General Goods & Services,,,26/07/2022,16009661901,25/11/2022
DoH_PD,33 Charlotte Street,Virtual Clinical Education Program,5/10/2022,"11,000.00",THE UNIVERSITY OF QUEENSLAND,"The University of Queensland, St Lucia Qld 4067",No,No,,,,,,,,,PD98623-2,General Goods and Services,,,5/10/2022,63942912682,13/01/2023
DoH_PD,33 Charlotte Street,Travel Air Fares,14/10/2022,"10,492.82",Virgin Australia,56 Edmonston Street Bowen Hills Qld 4006,No,No,,,,,,,,,,General Goods and Services,,,26/07/2022,36090670965,9/12/2022
DoH_PD,33 Charlotte Street,Deliver an international hybrid conference,31/10/2022,"22,990.00",Griffith University,NATHAN CAMPUS 170 KESSELS RD NATHAN 4111,No,No,,,,,,,,,PD98623-3,General Goods & Services,,,31/10/2022,78106094461,23/12/2022
DoH_PD,33 Charlotte Street,Engagement activities with clinical trial networks (CTN) in Australia to boost the uptake of the teletrial model.,7/11/2022,"819,500.00",Australian Clinical Trials Alliance Ltd,L 2/24 SE 1 ALBERT RD SOUTH MELBOURNE  VIC  3205,No,No,Limited,a - (i) No tenders were submitted or no suppliers requested participation,,,,,,,,General Goods and Services,,,7/11/2022,60168693972,30/03/2024
DoH_PD,33 Charlotte Street,International Forum for Tissue Engineering and Regenerative Medicine,18/11/2022,"21,780.00",Queensland University Of Technology,L2/88 MUSK AVE KELVIN GROVE   QLD  4059,No,No,,,,,,,,,PD98623-4,General Goods and Services,,,18/11/2022,83791724622,6/01/2023
DoH_PD,33 Charlotte Street,COVID ATHENA ServiceNow Development Services,6/06/2022,"67,650.00",Jds Australia Pty Ltd,L19/123 Eagle Street Brisbane  Qld  4000,No,No,,,,,,,,,,General Goods and Services,SOA 92349,,6/06/2022,88471933631,29/06/2022
DoH_PD,33 Charlotte Street,Ethics Review Manager (ERM) Software - Statewide Solution ,7/12/2022,"445,613.64",Infonetica Ltd,"The Lower Ground Floor Office, The Civic Centre, High Street, Esher, KT10 9SD",No,No, , , , , , , , , ,Information and Communication Technology, , ,13/07/2022,96394859661,7/12/2023
