Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,Linkedin Learning - Yearly subscription,8/07/2022,"11,385.00",Linkedin,L9/1 MARTON PL  SYDNEY  NSW  2000,No,No,,,,,,,,,,General Goods & Services,,,8/07/2022,73615253408,7/07/2023
DoH_PD,33 Charlotte Street,Student Research Agreement,19/07/2022,"15,000.00",Australian National University,Australian National University ACTON  ACT  2601,No,No,,,,,,,,,PD113807,General Goods and Services,,,14/02/2022,52234063906,8/12/2023
DoH_PD,33 Charlotte Street,Employee Assistance Services,26/07/2022,"11,869.00",BENESTAR GROUP PTY LTD ,PO Box Q1436  SYDNEY NSW 1230,No,No,,,,,,,,,,General Goods & Services,,,26/07/2022,61003536472,25/11/2022
DoH_PD,33 Charlotte Street,Legal fees,29/09/2022,"19,259.35",Hwl Ebsworth Lawyers,L19/480 Queen Street BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods & Services,,,29/09/2022,37246549189,31/10/2022
DoH_PD,33 Charlotte Street,2023 SIP Campaign resources,7/10/2022,"143,526.11",The Buckner Group Pty Ltd,71 BASALT ST GEEBUNG  QLD  4034,No,No,,,,,,,,,4302475792,General Goods and Services,,,7/10/2022,47009739422,30/11/2022
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"18,935.13",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-19,General Goods and Services,GGS0060,,1/07/2022,28080275378,30/09/2022
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"112,527.27",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-17,General Goods and Services,GGS0060,,1/07/2022,28080275378,30/06/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"67,239.48",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-18,General Goods and Services,GGS0060,,1/07/2022,28080275378,15/01/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,23/07/2022,"12,239.37",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-20,General Goods and Services,GGS0060,,23/07/2022,28080275378,2/10/2022
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"64,343.16",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-19,General Goods and Services,GGS0060,,1/07/2022,28080275378,15/01/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,26/07/2022,"6,687.11",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-23,General Goods and Services,GGS0060,,26/07/2022,28080275378,14/08/2022
DoH_PD,33 Charlotte Street,ICT Products and Services,18/07/2022,"1,848,000.00",CUSTOMER MANAGEMENT TECHNOLOGIES,PO Box 2311 Fortitude Valley Qld 4006,Yes,No,Limited,"c - (i) Cannot be made for technical reasons such as requirements of interchangeability or interoperability with existing equipment, software, services or installations procured under the initial procurement, or due to conditions under original supplier warranties",,,,,,,PD73437-2,Information and Communication Technology,,,18/09/2022,93084752983,18/09/2024
DoH_PD,33 Charlotte Street,Queensland contribution to Food Regulation System 2022-23 & Website design and build,18/05/2022,"66,874.82",Department Of Health,GPO Box 9848  CANBERRA  ACT  2601,No,No,,,,,,,,,,General Goods and Services,,,18/05/2022,83605426759,1/11/2022
DoH_PD,33 Charlotte Street,Legal fees,28/06/2022,"118,264.00",Mccullough Robertson Lawyers,GPO BOX 1855 BRISBANE QLD 4001,No,No,,,,,,,,,,General Goods and Services,QGP0059-19,,28/06/2022,42721345951,31/10/2022
DoH_PD,33 Charlotte Street,Legal fees,29/06/2022,"25,101.42",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods and Services,QGP0059-19,,29/06/2022,91556716819,31/10/2022
DoH_PD,33 Charlotte Street,Photocopier Charges,27/06/2022,"14,002.69",Ricoh Australia Pty Ltd,Locked Bag 2044 / NORTH RYDE NSW 1670,No,No,,,,,,,,,,General Goods and Services,,,27/06/2022,30000593171,25/10/2022
DoH_PD,33 Charlotte Street,GP Education Package,23/06/2022,"13,200.00",Family Planning Queensland,230 Lutwych Road WINDSOR QLD 4030,No,Yes,,,,,,,,,,General Goods and Services,,,23/06/2022,61009860164,17/07/2022
DoH_PD,33 Charlotte Street,"Storage, Printing & Distribution of PSB Health Promotion material",30/06/2022,"11,425.96",Winc Australia Pty Ltd,"B4/301 Orchard Rd, Richlands QLD 4077",No,No,,,,,,,,,,,,,30/06/2022,94000728398,11/11/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,4/07/2022,"254,818.96",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-2,Information and Communication Technology,GGS0060,,4/07/2022,70600569784,2/01/2023
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2/07/2022,"143,016.19",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-22,Information and Communication Technology,GGS0060,,2/07/2022,70600569784,2/01/2023
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2/07/2022,"152,030.32",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-17,Information and Communication Technology,GGS0060,,2/07/2022,70600569784,2/01/2023
DoH_PD,33 Charlotte Street,ICT Contingency Labour,4/07/2022,"138,578.09",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-19,Information and Communication Technology,GGS0060,,4/07/2022,70600569784,2/01/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,4/07/2022,"70,464.90",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,,,,,,,,,PD106403-4,Information and Communication Technology,GGS0060,,4/07/2022,28080275378,2/01/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"129,234.84",Dr Linda Cockburn,,Yes,No,,,,,,,,,PD78134-1,Medical,,,1/07/2022,77010933016,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"195,910.59",Marion Tracey Medical Pty Ltd,,Yes,No,,,,,,,,,PD78242-1,Medical,,,1/07/2022,47144563986,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"102,721.74",Rjlarsen Medical Pty Ltd,,Yes,No,,,,,,,,,PD78461-1,Medical,,,1/07/2022,60378221090,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"109,741.06",Dr Tony C Bretherton,,Yes,No,,,,,,,,,PD77905-1,Medical,,,1/07/2022,78497757293,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"31,906.00",Dr Charmaine Macdonald,,Yes,No,,,,,,,,,PD88446,Medical,,,1/07/2022,88748985156,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"34,496.64",Dr Thomas B Lloyd,,Yes,No,,,,,,,,,PD78568-1,Medical,,,1/07/2022,29726026564,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"19,454.88",Dr Shohreh Rezai,,Yes,No,,,,,,,,,PD78254-1,Medical,,,1/07/2021,65230147242,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"38,528.44",Dr Damayantha K Seneviratne,,Yes,No,,,,,,,,,PD77907-1,Medical,,,1/07/2022,23931971084,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"62,057.51",Dr Bronwyn G Rogers,,Yes,No,,,,,,,,,PD77899-2,Medical,,,1/07/2022,40094502208,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"49,558.23",Dr Michael P M Curley,,Yes,No,,,,,,,,,PD87660-1,Medical,,,1/07/2022,90442299082,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"52,351.30",Clamac Medical Pty Ltd,,Yes,No,,,,,,,,,PD77917-1,Medical,,,1/07/2022,65120316609,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"51,798.45",Katrina Lee Dahl,,Yes,No,,,,,,,,,PD87906,Medical,,,1/07/2022,72659428250,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"34,672.12",Dr Nicholas J Hall,,Yes,No,,,,,,,,,PD78243-1,Medical,,,1/07/2022,43197840105,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"27,236.83",Dr James Challen,,Yes,No,,,,,,,,,PD77906-1,Medical,,,1/07/2022,27135980467,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"56,030.04",Dr John Evans Radiologist Pty Ltd,,Yes,No,,,,,,,,,PD78127-1,Medical,,,1/07/2022,69165642651,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"44,589.22",Lexsea Radiology P/L,,Yes,No,,,,,,,,,PD99191,Medical,,,1/07/2022,60626688659,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"62,003.76",Dr Phelim T Doyle,,Yes,No,,,,,,,,,PD77913-1,Medical,,,1/07/2022,27809036694,31/03/2023
DoH_PD,33 Charlotte Street,2022/23 VMO BreastScreening,1/07/2022,"55,251.85",Dr Chanchala Athulathmudali,,Yes,No,,,,,,,,,PD77862-1,Medical,,,1/07/2022,69547106756,31/03/2023
