Agency (Dept or Stat Body),Agency address,Contract description/ name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Griffith University,"170 Kessels Road, Nathan Qld 4111",Conceptual Design N25 Building,1/07/2020,20350,Blight Rayner Architecture Pty Ltd,"Level 2, 88 Creek Street,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,341614,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Gumurri Refurbishment,1/07/2020,17028,Borhan Ghofrani,Brisbane,No,No ,N/A,,,,,,,341613,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",L08 Transformer And Rmu,1/07/2020,14366,Webb Australia Group (Qld) Pty Ltd,"Po Box 1005,  Toowong, Qld, 4066",No,No ,N/A,,,,,,,341611,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Electrical Upgrade,2/07/2020,13090,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,341648,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",T1 Health Media Buy,2/07/2020,109113,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",No,No ,N/A,,,,,,,341641,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Open House 2020 Campaign,2/07/2020,275000,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",No,No ,N/A,,,,,,,341647,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,2/07/2020,82500,Invision Media Pty Ltd,"241 Given Tce, Po Box 5014 Paddington, Qld, 4064",No,No ,N/A,,,,,,,341653,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",QFI Membership Jul 20 To Jun 2,2/07/2020,27280,Queensland Futures Institute Ltd,"Level 11, 111 Eagle Street, Brisbane, Qld 4000",No,No ,N/A,,,,,,,1860037,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Professional Research Services ,2/07/2020,44000,University Of Western Australia,"Nedlands,  Nedlands, Wa, 6907",No,No ,N/A,,,,,,,341654,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",IEEE 1 Jul 2020 - 30 Jun 2021,3/07/2020,134647,Ebsco International Inc,"Subscription Services, Attn John Siweknorth Sydney, Nsw 2060",No,No ,N/A,,,,,,,1859845,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Social Relationship Platform N/A Annual 2020-2021 Subscription,3/07/2020,32045,Hootsuite Media Inc,"Level 8, 66 Goulburn Street,  Sydney, Nsw, 2000",No,No ,N/A,,,,,,,341688,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G42 Cafe Awning,3/07/2020,12265,Meinhardt (Qld) Pty Ltd,"Level 2 135 Wickham Terrace,  Spring Hill, Qld, 4000",No,No ,N/A,,,,,,,341680,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G42 Cafe Awning,3/07/2020,19673,Wilson Architects,"564 Boundary Street,  Spring Hill, Qld, 4000",No,No ,N/A,,,,,,,341683,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Tp3/2020 Pearson Commission,4/07/2020,636577,Pearson Australia Group Pty Ltd,"Suite 1001 Level 10, 151 Castlereagh Street,Sydney, Nsw 2000",,No ,Limited Offer,,,,,,,1858372,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G24 Scroll Compressor Replacement,6/07/2020,13037,Atlas Copco Australia Pty Ltd,"25 Bluestone Circuit,  Seventeen Mile Rocks, Qld, 4073",No,No ,N/A,,,,,,,341748,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Gas Works,6/07/2020,13456,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No ,N/A,,,,,,,341731,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Qtac Website Advertising,6/07/2020,27500,Queensland Tertiary Admissions Centre Lt,"Po Box 1331,  Milton, Qld, 4064",No,No ,N/A,,,,,,,341757,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Senior Leadership Conference 2021 12/07/21-13/07/21,6/07/2020,112448,Racv Royal Pines Resort,"Pmb 88,  Gcmc, Qld, 9726",No,No ,N/A,,,,,,,341732,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Microscope & Ik Series,6/07/2020,14400,Ramco (Uk) Limited,"Church Road South,  Skegness, Lincs, Pe25 3Rs",No,No ,N/A,,,,,,,341737,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G05 Roof Repair ,6/07/2020,10956,Roof & Building Service (Aus) Pty Ltd,"Po Box 426,  Hamilton Central, Qld, 4007",No,No ,N/A,,,,,,,341729,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,6/07/2020,67579,Thermo Fisher Scientific Australia,"Po Box 9092,  Scoresby, Vic, 3179",No,No ,N/A,,,,,,,341759,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Roadmap To Sustainability - Consultancy Services,7/07/2020,4079319,Pricewaterhouse Coopers Consulting Aust,"Darling Park Tower 2, 201 Sussex Street,  Sydney, Nsw, 2000",No,No ,Open Offer,,,,,,,341790,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Standardsaust Subscription 29 Apr 2020 - 28,7/07/2020,49171,Sai Global Australia Pty Ltd,"Level 37, 680 George Street, Sydney, Nsw 2000",No,No ,N/A,,,,,,,1860959,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Vfairs Annual Licence,7/07/2020,42600,Vfairs Llc,"Suite 208, 1510 Randolph Street,  Coppell, Tx, 75006",No,No ,N/A,,,,,,,341781,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Mhiq Grant Reviews And Workshop 2020,8/07/2020,23320,Knowledge Translation Australia,"Po Box 24040,  Melbourne, Vic, 3001",No,No ,N/A,,,,,,,341801,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Annual 2020-2023 Subscription,8/07/2020,22135,Simuserv Pty Ltd,"Level 1, 123 Camberwell Road,  East Hawthorne, Vic, 3123",No,No ,N/A,,,,,,,341796,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Symplecticb Annual 2020-2021 Subscription,9/07/2020,166200,Digital Science & Research Solutions Inc,"625 Massachusetts Avenue, 2Nd Floor Cambridge, Ma, 02139",No,No ,N/A,,,,,,,341834,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Hotcourses Annual 2020-2021 Subscription,9/07/2020,55000,Hotcourses Pty Ltd,"Studio 6, Level 1, 285A Crown Street Surry Hills, Nsw, 2010",No,No ,N/A,,,,,,,341842,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Health Study Interest Areas,9/07/2020,41755,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",No,No ,N/A,,,,,,,341861,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","Automatic Bollard, Nathan",9/07/2020,14478,Magnetic Automation Pty Ltd,"2/4-14 Riverland Drive,  Loganholme, Qld, 4129",No,No ,N/A,,,,,,,341822,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,9/07/2020,10001,Quality Online Research Pty Ltd,"Suite 10/22 Ryde Road,  Pymble, Nsw, 2073",No,No ,N/A,,,,,,,341836,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Digital Oscilloscopes,9/07/2020,46080,Scientific Devices Australia,"118 Atkinson Street,  Oakleigh, Vic, 3166",No,No ,N/A,,,,,,,341841,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services ,9/07/2020,66234,Weichuan Zhang,China,No,No ,N/A,,,,,,,341838,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Snp Genotyping Of 4 Multiplexes,10/07/2020,15840,Australian Genome Research Facility Ltd,"Level 5 Gehrmann Laboratories, Research Road St Lucia, Qld, 4072",No,No ,N/A,,,,,,,341896,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Turbo License Annual 2020-2021 Subscription,10/07/2020,67942,Code Systems Corporation,"568 First Avenue South,  Seattle, Wa, 98104",No,No ,N/A,,,,,,,341880,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Flammable Cladding Replacement,10/07/2020,196240,Donald Cant Watts Corke (Qld) P/L,"Po Box 10161,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,341892,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Monotype Web Font 2020-2021 Subscription,10/07/2020,22202,Monotype Gmbh,"Werner-Reimers-Strasse 2-4,  Bad Homburg, , 61352",No,No ,N/A,,,,,,,341885,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Syndetic Summaries & Annotations,10/07/2020,15638,Proquest Llc,"Level 1, 607 St Kilda Road,  Melbourne, Vic, 3004",No,No ,N/A,,,,,,,341882,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Repair Of Hpge Detector,11/07/2020,16357,Radiation Saunders Pty Ltd,"Unit 29, 1208 Pacific Highway, Pymble, Nsw 2073",No,No ,N/A,,,,,,,1860013,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription 2020-2021,13/07/2020,11464,A2K Technologies Pty Ltd,"62 Brandl Street,  Eight Mile Plains, Qld, 4113",No,No ,N/A,,,,,,,341915,Information and Communication Technology,C00947,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,13/07/2020,16020,Computer Alliance Pty Ltd,"1517 Logan Road,  Mount Gravatt, Qld, 4122",No,No ,N/A,,,,,,,341912,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Thought Leadership Livestream,13/07/2020,18590,Daresay,"Ground Floor, 4 Glen Street Milsons Point, Nsw, 2061",No,No ,N/A,,,,,,,341942,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Lvl 5 Fitout,13/07/2020,383122,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,341934,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Program Analysis Review,13/07/2020,105600,Deloitte Financial Advisory Pty Ltd,"Level 23, 123 Eagle Street,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,341943,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",L03 Level 2 Library Office Refurbishment ,14/07/2020,201179,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No ,N/A,,,,,,,341973,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Participation Extension Fee,14/07/2020,15400,Feedbackfruits,", Plantage Middenlaan 60Amsterdam,  1018 Dh",No,No ,N/A,,,,,,,1861557,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Mental Health & Well Being Support,14/07/2020,33000,Lifeline Direct Limited,"Po Box 336,  Warrnambool, Vic, 3280",No,No ,N/A,,,,,,,341976,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",A-Frame Metal Signage Stands,14/07/2020,23859,Tennyson Group Aust Pty Ltd,"Po Box 1617,  Browns Plains Bc, Qld, 4118",No,No ,N/A,,,,,,,341965,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Teaching Program - 3Ds 3 Day Start Up,15/07/2020,105814,3 Day Startup,"701 Brazos Street, Suite 533,  Austin, Tx, 78701",No,No ,N/A,,,,,,,341982,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,15/07/2020,17160,Alcorn Security Group,"Shop H26, 7 High Street,  Victoria Point, Qld, 4165",No,No ,N/A,,,,,,,342012,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription 25 May 2020 - 24 May 2021,15/07/2020,10000,Bentley Systems International Limited,"Charlemont Exchange, 5Th Floor,, Charlemont Street Dublin 2, Dublin, D02Vn88",No,No ,N/A,,,,,,,341987,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N23 Network Switch Cisco,15/07/2020,11798,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,342009,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Ug Pg Campaign - Digital Media,15/07/2020,701800,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",,No ,Selective Offer,,,,,,,341994,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Annual License Fee,15/07/2020,18333,Learning Information Systems,"Level 11,  17 York St, Sydney, Nsw 2000",No,No ,N/A,,,,,,,1862015,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Ug Pg Campaign - Mba Costs,15/07/2020,469737,Mediacom Australia Pty Ltd,"Gpo Box 1000,  Brisbane, Qld, 4001",No,No ,N/A,,,,,,,341993,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,15/07/2020,19258,Merit Medical Australia Pty Ltd,"Po Box 669,  Braeside, Vic, 3195",No,No ,N/A,,,,,,,342003,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Program Accreditation,15/07/2020,14775,Ot Council (Aus & Nz)  Ltd,"Gpo Box 959, South Perth, Wa 6951",No,No ,N/A,,,,,,,1861856,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Nvivo Pro 2020-2021 Subscription,15/07/2020,49564,Qsr International Pty Ltd,"Level 2, 651 Doncaster Road Doncaster, Vic, 3108",No,No ,N/A,,,,,,,341983,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Qtac Narte Assessments,15/07/2020,31966,Queensland Tertiary Admissions Centre Lt,"Po Box 1331, Milton, Qld 4064",No,No ,N/A,,,,,,,1859105,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,15/07/2020,41525,Scitek Australia Pty Ltd,"Po Box 355,  Milsons Point, Nsw, 1565",No,No ,N/A,,,,,,,341989,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,16/07/2020,12776,Arrayit Corporation,"488 Gabilan Street,  Los Altos, Ca, 94022",No,No ,N/A,,,,,,,342024,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,16/07/2020,14895,Labtek Pty Ltd,"Po Box 5316,  Brendale, Qld, 4500",No,No ,N/A,,,,,,,342022,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Accerlation 2020-2023 Subscription,16/07/2020,17936,Simuserv Pty Ltd,"Level 1, 123 Camberwell Road,  East Hawthorne, Vic, 3123",No,No ,N/A,,,,,,,342038,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Thought Leadership - Event Page,17/07/2020,18590,Daresay,"Ground Floor, 4 Glen Street Milsons Point, Nsw, 2061",No,No ,N/A,,,,,,,342063,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Lvl 4 Fitout,17/07/2020,26349,Haymans Electrical Pty Ltd,"593 Boundary Street,  Archerfield, Qld, 4108",No,No ,N/A,,,,,,,342056,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Sfm1 Sap Flow Meters,17/07/2020,15275,Ict International Pty Ltd,"Po Box 503,  Armidale, Nsw, 2350",No,No ,N/A,,,,,,,342073,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Biologicals/Chemicals,17/07/2020,21355,In Vitro Technologies Pty Ltd,"7-9 Summit Road,  Noble Park, Vic, 3174",No,No ,N/A,,,,,,,342070,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Biologicals/Chemicals,17/07/2020,10995,Sigma Aldrich Pty Ltd,"Po Box 970,  Castle Hill, Nsw, 1765",No,No ,N/A,,,,,,,342081,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Of Staff,17/07/2020,19025,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No ,N/A,,,,,,,342095,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,17/07/2020,28218,Surebridge Pty Ltd,"Po Box 1583,  Toowong, Qld, 4066",No,No ,N/A,,,,,,,342067,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Infrastructure Services: 01/07,18/07/2020,48194,Aarnet,"Gpo Box 1559, Canberra, Act 2601",No,No ,N/A,,,,,,,1860798,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Investigation Services,18/07/2020,23681,Q Workplace Solutions Pty Ltd,"79 Broadway Street, Woolloongabba, Qld 4102",No,No ,N/A,,,,,,,1859616,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Thought Leadership Hub Campaign,20/07/2020,20702,Daresay,"Ground Floor, 4 Glen Street Milsons Point, Nsw, 2061",No,No ,N/A,,,,,,,342151,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G14 - Humidity Sensors ,20/07/2020,17517,Indratel Australia Pty Limited,"Po Box 630,  Cannon Hill, Qld, 4173",No,No ,N/A,,,,,,,342150,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Nanoblitz 3D,20/07/2020,16489,Nanotechnology Solutions,"Level 30, Westpac House, 91 King William St Adelaide, Sa, 5000",No,No ,N/A,,,,,,,342114,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,20/07/2020,11740,Power On Australia Pty Ltd,"Po Box 70,  Salisbury, Qld, 4107",No,No ,N/A,,,,,,,342109,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,20/07/2020,29097,Scientific Instrument & Optical Sales,"Unit 1, 62 Bishop Street Kelvin Grove, Qld, 4059",No,No ,N/A,,,,,,,342115,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,20/07/2020,135945,Scientrific Pty Ltd,"Po Box 420,  Yamba, Nsw, 2464",No,No ,N/A,,,,,,,342108,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Of Staff,20/07/2020,20568,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No ,N/A,,,,,,,342113,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N44 Physics Refurbishment,21/07/2020,79968,Dm2Architecture Pty Ltd,"5A/8 Petrie Terrace,  Petrie Terrace, Qld, 4000",No,No ,N/A,,,,,,,342165,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Fitout Level 4 & 5,21/07/2020,46800,Matthew Kaldi T/A Allied Support,Brisbane,No,No ,N/A,,,,,,,342174,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",S01 Balcony Slab Remediation ,21/07/2020,19712,Mctaggart Plumbing Pty Ltd,"Po Box 173,  Petrie, Qld, 4502",No,No ,N/A,,,,,,,342162,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Optus Mobile Account For June,21/07/2020,59335,Optus Communications,"Gpo Box 3972, Sydney, Nsw 1119",No,No ,N/A,,,,,,,1862637,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Fitout,21/07/2020,13732,Queensland Fire & Emergency Services,"C/- Queensland Shared Services, Gpo Box 3272Brisbane, Qld 4001",No,No ,N/A,,,,,,,1862691,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Social Garden - Open House Promotion,21/07/2020,16500,Social Garden Pty Ltd,"Suite 4, 651 Victoria Street,  Abbotsford, Vic, 3067",No,No ,N/A,,,,,,,342167,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Licence Fees,21/07/2020,413433,Tableau International Salesforce,"The Oval, Shelbourne Road, Ballsbridge Dublin, , 4",No,No ,N/A,,,,,,,C00930,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Open House Video Captions,22/07/2020,18637,Access Innovation Media Pty Ltd,"Level 1, 103 Miller Street North Sydney, Nsw, 2060",No,No ,N/A,,,,,,,342230,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Subscription,22/07/2020,46216,Aust Higher Education Industrial Assoc,"Level 6, 303 Collins Street, Melbourne, Vic 3000",No,No ,N/A,,,,,,,1861154,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Search,22/07/2020,44000,Insight Management Consultants P/L,"Level 7, 230 Collins Street,  Melbourne, Vic, 3000",No,No ,N/A,,,,,,,342227,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Service,22/07/2020,16500,Odgers Berndtson,"Level 2, 2 Bulletin Placesydney, Nsw 2000",No,No ,N/A,,,,,,,1859771,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Azure June 2020 Subscription,23/07/2020,21311,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,342250,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,23/07/2020,26558,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No ,N/A,,,,,,,342284,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Junglemail 2020-2021 Subscription,23/07/2020,20470,Enovapoint,"T. Kosciuskos Str. 24-401,  Vilnius, Vl, 01100",No,No ,N/A,,,,,,,342249,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Services,23/07/2020,11437,Gold Coast City Council,"Po Box 5042, Gold Coast Mail Centre, Qld 9729",No,No ,N/A,,,,,,,1859580,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Ts1080 Lto 8 Tape Drive ,23/07/2020,67492,The Information Management Group Pty Ltd,"Po Box 251,  Alexandria, Nsw, 1435",No,No ,N/A,,,,,,,342267,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Sure Platform 7 Aug 2020 - 6 August 2021,23/07/2020,17875,The Sax Institute,"Po Box K617,  Haymarket, Nsw, 1240",No,No ,N/A,,,,,,,342251,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",N50 Asbestos Fascia Repairs,24/07/2020,159500,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No ,N/A,,,,,,,342318,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Flow Electronic Invoicing 2020 Subscription,24/07/2020,10140,Map Lab Solutions Pty Ltd,"1091 Beaufort Street,  Bedford, Wa, 6052",No,No ,N/A,,,,,,,342302,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Music Equipment,24/07/2020,13445,Orchestral Supplies Australia Pty Limite,"Po Box 622,  Berwick, Vic, 3806",No,No ,N/A,,,,,,,342320,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G40 Boiler Upgrade,24/07/2020,80700,Quadric Pty Ltd,"31 Barry Parade,  Fortitude Valley, Qld, 4107",No,No ,N/A,,,,,,,342310,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Backflow Annual Re,26/07/2020,20592,Gold Coast City Council,"Po Box 5042, Gold Coast Mail Centre, Qld 9729",No,No ,N/A,,,,,,,1860394,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",R6404S Appliance,27/07/2020,325973,Aliva Pty Ltd,"3 Marie Street,  Milton, Qld, 4064",No,No ,N/A,,,,,,,342340,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Nextera Flex Library Prep,27/07/2020,10538,Australian Genome Research Facility Ltd,"Level 5 Gehrmann Laboratories, Research Road St Lucia, Qld, 4072",No,No ,N/A,,,,,,,342369,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",General Employment Advice,27/07/2020,15452,Clayton Utz,"Gpo Box 9806, Canberra, Act 2601",No,No ,N/A,,,,,,,1863267,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Production Of Videos Stem Careers,27/07/2020,10000,Cosmonaut Creative Media,"1510 / 1 Como Crescent,  Southport, Qld, 4215",No,No ,N/A,,,,,,,342349,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",60L Red Landfill Bin,27/07/2020,34390,Eco Office Supplies,"Po Box 477,  Happy Valley, Sa, 5159",No,No ,N/A,,,,,,,342351,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Biologicals/Chemicals,27/07/2020,10152,Life Technologies Australia - Use #72199,"30-32 Compark Circuits,  Mulgrave, Vic, 3170",No,No ,N/A,,,,,,,342329,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Ucat Consortium Membership - M,27/07/2020,22000,Monash University,"Cashier, 21 Chancellors Walkmonash University, Vic 3800",No,No ,N/A,,,,,,,1863308,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111","Co-Source Internal Audits - Childcare And Food, Retail & Sports",27/07/2020,45610,Pricewaterhousecoopers Compliance,"One International Towers Sydney, Watermans Quay Barangaroo, Nsw, 2000",No,No ,N/A,,,,,,,342352,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",G40 Boiler Upgrade,27/07/2020,362062,Quadric Pty Ltd,"31 Barry Parade,  Fortitude Valley, Qld, 4107",No,No ,N/A,,,,,,,342326,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",2020 Global Business Challenge,27/07/2020,110000,Queensland University Of Technology,"Gpo Box 2434, Brisbane, Qld 4001",No,No ,N/A,,,,,,,1862974,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Research Support,27/07/2020,37768,Queensland University Of Technology,"Gpo Box 2434,  Brisbane, Qld, 4001",No,No ,N/A,,,,,,,342367,General Goods and Services,,,,
