Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Accelerated Online Media - Mediacom,20/09/2019,176000,Mediacom Australia Pty Ltd,"GPO Box 1000, Brisbane, QLD  4001",No,No,,,,,,,,328487,General Goods and Services,SOA PDC-88-2017,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Experience and Communication - Training and Facilitation,20/09/2019,16335,Oxygen Learning Pty Limited,"30 Hickson Road, Sydney, NSW  2000",No,No,,,,,,,,328574,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence/As A Service Agreement,20/09/2019,752748,Red Hat Asia-Pacific Pty Ltd,"Level 33 North Sydney, NSW  2060",Yes,No,Limited,,,,,,,C00139,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,20/09/2019,115534,Robert Walters,"GPO Box 3115, Brisbane, QLD  4001",Yes,No,,,,,,,,328513,General Goods and Services,GU4469,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Provide annual renovations to the Gold Coast Athletics field,20/09/2019,13092,Sports Turf Operations Pty Ltd,"2125 Beaudesert-Beenleigh Road, Tamborine, QLD  4270",No,No,,,,,,,,328524,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Teaching Materials Password Knowledge Adaptive,21/09/2019,23100,Bookery Pty Ltd,"9-11 Victoria Street, Fitzroy, VIC  3065",No,No,,,,,,,,1803745,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,22/09/2019,128067,UniJobs Global,"Suite 12/75 Bay Street, Brighton, VIC  3186",No,No,,,,,,,,1804675,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",GSC Graduation Reception,23/09/2019,22000,Brisbane Convention & Exhibition Centre,"PO Box 3869, Brisbane South, QLD  4101",No,No,,,,,,,,328598,General Goods and Services,GU4468,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,23/09/2019,20460,Conviron Asia Pacific,"4/22 Essington St, Grovedale, VIC  3216",No,No,,,,,,,,328666,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",LINK Project: IoT sim cards and Data,23/09/2019,44000,Link Enterprise Solutions Pty Ltd,"1 / 55 Newheath Drive, Arundel, QLD  4214",No,No,,,,,,,,328630,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,23/09/2019,72626,Optimum Recruitment Group (Qld) Pty Ltd,"Level 17, 40 Creek Street, Brisbane, QLD  4000",No,No,,,,,,,,328586,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",50% deposit Orchestra,24/09/2019,26830,Ensemble Q,"27 Highview Terrace, St Lucia, QLD  4067",No,No,,,,,,,,1807892,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",School of Medicine Graduation Function 2019,24/09/2019,22000,Gold Coast Convention & Exhibition Centr,"PO Box 1407, Broadbeach, QLD  4218",No,No,,,,,,,,328707,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",T1 Outdoor Media Buy Health,24/09/2019,99000,Mediacom Australia Pty Ltd,"GPO Box 1000, Brisbane, QLD  4001",No,No,,,,,,,,328690,General Goods and Services,SOA PDC-88-2017,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,25/09/2019,17074,Chandler Macleod Group Limited,"PO Box 49, Mulgrave, VIC  3170",No,No,,,,,,,,1805284,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Acclaim Digital Badges annual 2019-2020 Subscription,25/09/2019,11297,"Credly, Inc.","349 5th Avenue, New York, NY  10016  USA",No,No,,,,,,,,328781,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Supply One only Toyota RAV4 HV GX-2WD 2.5L CVT with Sat Nav and safety Sense,25/09/2019,32156,Grand Motors,"PO Box 7834, Gold Coast, QLD  9726",No,No,,,,,,,,328759,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,25/09/2019,55000,Robinson Fitzgerald Pty Ltd,"138 Juliette Street, Greenslopes, QLD  4120",No,No,,,,,,,,328780,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",GHC Alumni Dinner,25/09/2019,32450,W Brisbane,"300 George Street, Brisbane, QLD  4005",No,No,,,,,,,,328817,General Goods and Services,GU4482,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,25/09/2019,25410,Woods Bagot Pty Ltd,"102 Alelaide Street, Brisbane, QLD  4001",No,No,,,,,,,,328745,General Goods and Services,GU4476,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79: Pacific Wire Rope Hoists and Juuko Wireless Remote Controls,26/09/2019,31512,Aegis Safety Pty Ltd,"1/119 Delta Street, Geebung, QLD  4034",No,No,,,,,,,,328871,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",International Scholarships consultancy,26/09/2019,26000,Atwell & Associates Consultancy,"56 Seabourn Apartments, Caloundra, QLD  4551",No,No,,,,,,,,328900,General Goods and Services,GU4473,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Part of new robot platform,26/09/2019,193798,Biotools Pty Ltd,"PO Box 2454, Keperra, QLD  4052",No,No,,,,,,,,328843,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Student intern accommodation,26/09/2019,16925,Insa Hostel,"48, Insa dong 14 gil Jongno gu, Insa-dong, Seoul  03146  Korea",No,No,,,,,,,,1809363,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",L02 Dosing Equipment for Cooling Tower,26/09/2019,12628,IWTS Group pty Ltd,"7/39-45 Secam Street, Mansfield, QLD  4122",No,No,,,,,,,,328895,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Network Analyzer,26/09/2019,151300,Keysight Technologies Australia Pty Ltd,"745 Springvale Road, Mulgrave, VIC  3170",No,No,,,,,,,,328855,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",CCJ Study Tour to Thailand,27/09/2019,67690,Centre for International Studies Pty Ltd,"PO Box 84, Helensvale, QLD  4212",No,No,,,,,,,,1804105,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",University Building Combustible Cladding Consultancy ,27/09/2019,290899,Donald Cant Watts Corke (Qld) P/L,"PO Box 10161, Brisbane, QLD  4000",No,No,,,,,,,,328902,Building Construction and Maintenance,V160289,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,27/09/2019,15070,Theraplay Psychology Practice,"33 Tristania Street, Bangalow, NSW  2479",No,No,,,,,,,,328926,General Goods and Services,GU4485,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Student Tour,28/09/2019,35386,Buffalo Tours,"61 Stamford Road, 01-06 Stamford Court, 088278  Singapore",No,No,,,,,,,,1804041,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Kofax Annual Software Licence,29/09/2019,18493,Efficiency Leaders (Australia) Pty Ltd,"PO Box 494, Varsity Lakes, QLD  4227",No,No,,,,,,,,1804559,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Aug IELTS tests ,30/09/2019,29711,IELTS Australia Pty Ltd,"GPO Box 2006, Canberra, ACT  2601",No,No,,,,,,,,1804299,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission Payment,1/10/2019,688376,IDP Education Pty Ltd,"Level 8, 535 Bourke Street, Melbourne, VIC  3000",No,No,Limited,,,,,,,1810326,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Level 5 Engineering Services,2/10/2019,40150,Bornhorst & Ward Pty Ltd,"67 Astor Terrace, Spring Hill, QLD  4000",No,No,,,,,,,,329162,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",FOG First Republic USD Xfer,2/10/2019,20500,Friends of Griffith University in the US,"Suite 750, 444 S. Flower Street, Los Angeles, CA  90071  USA",No,No,,,,,,,,1809731,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Hazardous Zone Assessment,2/10/2019,28160,Hazardous Area Specialists PTY LTD,"PO Box 37, Kedron, QLD  4031",No,No,,,,,,,,329153,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Licence Fees,2/10/2019,188909,Maser Technology Group Pty Ltd,"Unit 9, 15B Rodborough Road, French Forest, NSW  2086",Yes,No,,,,,,,,C01221,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111","Upgrade to EcoStructure 3.0, all campuses",2/10/2019,32175,Schneider Electric Buildings Australia,"Level 3, 2A Lord Street, Botany, NSW  2019",No,No,,,,,,,,329157,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N12 & N18 Link 8 - SBO Migration,2/10/2019,19323,Schneider Electric Buildings Australia,"Level 3, 2A Lord Street, Botany, NSW  2019",No,No,,,,,,,,329158,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Temperature & Humidity Cabinet,2/10/2019,19509,Thermoline Scientific Equipment Pty Ltd,"PO Box 6862, Wetherill Park, NSW  1851",No,No,,,,,,,,329178,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Provision of Lit and Num Test ,3/10/2019,28320,ACER - Aust Council for Edu Research Ltd,"Private Bag 55, Camberwell, VIC  3124",No,No,,,,,,,,1806728,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,3/10/2019,101214,Deloitte Financial Advisory Pty Ltd,"GPO Box 1463, Brisbane, QLD  4000",No,No,,,,,,,,1806262,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",RAV 4 HV GX-2WD 2.5L CVT + NAV SS,3/10/2019,32854,Grand Motors,"PO Box 7834, Gold Coast, QLD  9726",No,No,,,,,,,,329281,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Phosphodiesterase kit 500 tests,3/10/2019,30030,Lonza Australia Pty Ltd,"541 Blackburn Road, Mt Waverley, VIC  3149",No,No,,,,,,,,329257,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Automated Polarization Control System,3/10/2019,18759,NewSpec Unit Trust,"330 Glen Osmond Road, Mrytle Bank, SA  5064",No,No,,,,,,,,329293,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,3/10/2019,61930,Nous Group Pty Ltd,"PO Box 13069, Law Courts, VIC  8010",No,No,,,,,,,,329305,General Goods and Services,GU4491,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,3/10/2019,15232,UniRecruit,"3422 Surfers Paradise Boulevarde, SURFERS PARADISE, QLD  4217",No,No,,,,,,,,1809515,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",UniForum Annual Subscription,4/10/2019,108350,Cubane Consulting Pty Ltd,"5 Pryl Road, Artarmon, NSW  2064",No,No,,,,,,,,1810323,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ebsco database online subscription 01Jan-31Dec2020,4/10/2019,59852,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1810444,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ebsco database online subscription 01Jan-31Dec2020,4/10/2019,11911,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1811227,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Links SBO Migration,4/10/2019,108691,Schneider Electric Buildings Australia,"Level 3, 2A Lord Street, Botany, NSW  2019",No,No,,,,,,,,329339,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G13 Bollard Upgrades,4/10/2019,34463,Securcom Pty Ltd,"Unit 79, 193 South Pine Road, Brendale, QLD  4500",No,No,,,,,,,,329367,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",SurveyEngine Annual 2019-2020 Subscription,4/10/2019,113506,SurveyEngine,"Potsdamer Platz 1, Berlin  10785  Germany",No,No,,,,,,,,329320,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",MiFare 4k dual tech access cards,4/10/2019,49415,Tyco Australia P/L t/a ADT Security QLD,"38 South Street, Rydalmere, NSW  2116",No,No,,,,,,,,329366,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,4/10/2019,19245,University of Queensland,"University Of Queensland, St Lucia, QLD  4072",No,No,,,,,,,,329314,General Goods and Services,GU4478,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",V00 AV Services,4/10/2019,14665,Videopro,"37 Eagleview Place, Eagle Farm, QLD  4009",No,No,,,,,,,,329335,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Performance fee,7/10/2019,11134,Australian National Academy of Music,"210 Bank Street, South Melbourne, VIC  3207",No,No,,,,,,,,1811066,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,7/10/2019,79200,Executis Pty Ltd,"428 Montague Road, West End, QLD  4101",No,No,,,,,,,,329392,General Goods and Services,GU4477,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N54 Emergency Lighting Upgrade,7/10/2019,35314,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,329390,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N48 Emergency Lighting Upgrade,7/10/2019,19315,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,329391,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,8/10/2019,44772,Boyden Road Productions,"10799 Sherman Grove Avenue SPC 82, Sunland, CA  91040  USA",No,No,,,,,,,,1811736,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,8/10/2019,22000,Insight Management Consultants P/L,"Level 7, 230 Collins Street, Melbourne, VIC  3000",No,No,,,,,,,,1811664,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111","Conference Venue, Catering and Accommodation",8/10/2019,10246,Southport Australian Rules Football Club,"3 Melia Court, Southport, QLD  4215",No,No,,,,,,,,329442,General Goods and Services,GU4490,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Supply Signal Routing Equipment,8/10/2019,148003,Videopro,"37 Eagleview Place, Eagle Farm, QLD  4009",No,No,,,,,,,,329455,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",MATE Bystander Online Modules,9/10/2019,79250,Androgogic Pty Ltd,"26 National Street, Leichhardt, NSW  2044",No,No,,,,,,,,329549,General Goods and Services,GU4351,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Catering for Heron Island Field Trip,9/10/2019,13437,Good Food Solutions,"PO Box 435, Eumundi, QLD  4562",No,No,,,,,,,,1805758,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Venue hire and catering for PDN Conference,9/10/2019,100000,QT Gold Coast,"7 Staghorn Avenue, Surfers Paradise, QLD  4217",No,No,,,,,,,,329540,General Goods and Services,GU4493,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",New Battery String for Nathan UPS,9/10/2019,21709,Sure Power,"4 Manilla Street, East Brisbane, QLD  4169",No,No,,,,,,,,329493,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",New Battery String for Logan UPS,9/10/2019,14708,Sure Power,"4 Manilla Street, East Brisbane, QLD  4169",No,No,,,,,,,,329494,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",OSIRIS on-line data subscription 01Nov2019-31Oct2020,10/10/2019,55748,Bureau van Dijk Electronic Publishing,"Level 9, 66 Hunter Street, Sydney, NSW  2000",No,No,,,,,,,,1812247,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 AV Equipment,10/10/2019,75525,Videopro,"37 Eagleview Place, Eagle Farm, QLD  4009",No,No,,,,,,,,329572,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Accommodation for Global Mobil,11/10/2019,20828,Hong Kong Youth Hostels Association,"Block 41, Shek Kip Mei Estate, Sham Shui Po, Kowloon  Hong Kong",No,No,,,,,,,,1811068,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N44 Mechanical services refurbishment,11/10/2019,163651,Value Added Asset Management Pty Ltd,"27 Bellwood Street, Darra, QLD  4076",No,No,,,,,,,,329647,Building Construction and Maintenance,N160301,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",QSES Enquiry & Offer Management,12/10/2019,28050,QS Enrolment Solutions (Australia) Pty L,"Level 3, 595 Collins Street, Melbourne, VIC  3000",No,No,,,,,,,,1808098,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Natural Medicines subscription 2019,12/10/2019,13134,Therapeutic Research Centre,"3120 W March Lane, Stockton, CA  95219  USA",No,No,,,,,,,,1807102,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Live chat services,13/10/2019,46750,QS Enrolment Solutions (Australia) Pty L,"Level 3, 595 Collins Street, Melbourne, VIC  3000",No,No,,,,,,,,1812670,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",HV maintenance at Logan campus,14/10/2019,11000,Asset Power Solutions Pty Ltd,"PO Box 459, Cannon Hill, QLD  4170",No,No,,,,,,,,329736,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111","G05 Services Awning, Small Scale Minor Works",14/10/2019,55473,Better Build Constructions Pty Ltd,"83 Pickering Street, Enoggera, QLD  4051",No,No,,,,,,,,329709,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,14/10/2019,95700,Kane Enable,"PO Box 3777, Loganholme, QLD  4129",No,No,,,,,,,,329706,General Goods and Services,GU4488,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,14/10/2019,116600,Robinson Fitzgerald Pty Ltd,"Suite 7, 138 Juliette Street, Greenslopes, QLD  4120",No,No,,,,,,,,329750,General Goods and Services,GU4500,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Shared costs June 19,14/10/2019,47986,Sunshine Coast Health Institute,"PO Box 5155, Sunshine Coast MC, QLD  4560",No,No,,,,,,,,1813051,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 Signage,14/10/2019,48723,Wood & Wood Sign Systems P/L,"40 Cessna Drive, Caboolture, QLD  4510",No,No,,,,,,,,329747,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,15/10/2019,60728,Deloitte Financial Advisory Pty Ltd,"GPO Box 1463, Brisbane, QLD  4000",No,No,,,,,,,,1813223,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",MSC Grad Post Celebration 2019 ,15/10/2019,11000,Gold Coast Convention & Exhibition Centr,"PO Box 1407, Broadbeach, QLD  4218",No,No,,,,,,,,329835,General Goods and Services,GU4505,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,15/10/2019,68261,GRIPFAST CONSULTING PTY LTD,"155 Wickham Terrace, Spring Hill, QLD  4000",No,No,,,,,,,,329832,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission Payment,15/10/2019,36940,IDP Education Pty Ltd,"Level 8, 535 Bourke Street, Melbourne, VIC  3000",No,No,,,,,,,,1813206,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire of Sydney venue,15/10/2019,11550,Monkey Baa Theatre Company,"1-25 Harbour Street, Sydney, NSW  2000",No,No,,,,,,,,329861,General Goods and Services,GU4504,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,15/10/2019,149744,Visual Outcomes Pty Ltd,"PO Box N434, Grosvenor Place, NSW  1220",Yes,No,,,,,,,,C00771,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",BMJ Publishing online subsciption 01Jan-31Dec20,16/10/2019,33053,BMJ Publishing Group Ltd,"PO Box 273, London  WC1H 9BP  GBR",No,No,,,,,,,,1812990,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",RG Accommodation,16/10/2019,15582,Comfort Inn Robertson Gardens,"281 Kessels Road, Robertson, QLD  4109",No,No,,,,,,,,1813736,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",UK NARIC Annual Subscription,16/10/2019,14067,Ecctis Ltd,"68-70 Suffolk Road, Cheltenham  GL50 2ED  Great Britain",No,No,,,,,,,,1812980,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79 AV Services,16/10/2019,47045,Videopro,"37 Eagleview Place, Eagle Farm, QLD  4009",No,No,,,,,,,,329870,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marriott SP Event,17/10/2019,12100,Bensonlily Surfers Paradise Pty Ltd,"Surfers Paradise Marriott Resort & Spa, Surfers Paradise, QLD  4217",No,No,,,,,,,,330030,General Goods and Services,GU4497,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,17/10/2019,20625,Calibre Consulting Group,"80 Dengate Lane, St Lucia, QLD  4067",No,No,,,,,,,,329997,General Goods and Services,GU4507,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,17/10/2019,235400,Calibre Consulting Group,"80 Dengate Lane, St Lucia, QLD  4067",No,No,,,,,,,,329998,General Goods and Services,GU4508,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,17/10/2019,68750,Calibre Consulting Group,"80 Dengate Lane, St Lucia, QLD  4067",No,No,,,,,,,,329999,General Goods and Services,GU4509,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G17 Replace field devices,17/10/2019,18282,Dylmount Pty Ltd,"PO Box 57, Albion, QLD  4010",No,No,,,,,,,,329971,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G03 Replace 55 detectors,17/10/2019,13613,Dylmount Pty Ltd,"PO Box 57, Albion, QLD  4010",No,No,,,,,,,,329974,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79: Staff Relocation Services,17/10/2019,16346,GAN Group Pty Ltd t/as Goals A+N,"Unit 1, 489 Bilsen Road, Geebung, QLD  4034",No,No,,,,,,,,329970,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Services,17/10/2019,13401,Gold Coast City Council,"PO Box 5042, Gold Coast Mail Centre, QLD  9729",No,No,,,,,,,,1813942,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,17/10/2019,142666,Hays Specialist Recruitment (Australia),"GPO Box 3868, Sydney, NSW  2001",No,No,,,,,,,,330003,General Goods and Services,GU4513,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,17/10/2019,33000,Strategic Progress Pty Ltd,"PO Box 1284, New Farm, QLD  4005",No,No,,,,,,,,330045,General Goods and Services,GU4515,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Annual Support Services,17/10/2019,29040,Vuram Australia Pty Ltd,"Level 10, Tower 4, World Trade Center, Melbourne, VIC  3008",No,No,,,,,,,,329977,Information and Communication Technology,C01490,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",2020 Young Conservatorium Camp,18/10/2019,32918,Alexandra Park Conference Centre,"PO Box 705, Cotton Tree, QLD  4558",No,No,,,,,,,,330093,General Goods and Services,GU4516,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",AMH subscription 30Dec2019-29Dec2020,18/10/2019,31874,Australian Medicines Handbook Pty Ltd,"PO Box 240, Rundle Mall, Adelaide, SA  5000",No,No,,,,,,,,1813015,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy,18/10/2019,49500,Dot Dash Events,"PO Box 5604, Manly, QLD  4179",No,No,,,,,,,,330128,General Goods and Services,GU4511,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ebsco database online subscription 01Jan-31Dec2020,18/10/2019,15886,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1812974,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Ebsco database online subscription 01Jan-31Dec2020,18/10/2019,21810,EBSCO International Inc,"Level 8, 132 Arthur Street, North Sydney, NSW  2060",No,No,,,,,,,,1812975,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",M08 Emergency Lighting Upgrade,18/10/2019,11284,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,330126,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N67 Annual renovations to the Nathan AFL field,18/10/2019,29880,Twin View Turf Pty Ltd,"410 Powell Road, Wamuran, QLD  4512",No,No,,,,,,,,330113,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Student Tour Services Vietnam,19/10/2019,24090,Emperor Solutions Pty Ltd,"15 Elatum Court, Shailer Park, QLD  4128",No,No,,,,,,,,1808231,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",NTT Tourism Accommodation 2,20/10/2019,11394,Comfort Inn Robertson Gardens,"281 Kessels Road, Robertson, QLD  4109",No,No,,,,,,,,1813737,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",N79  Install bulkhead above walkway using exotec sheeting,21/10/2019,10727,A1 Building & Property Solutions Pty Ltd,"3 D'aguilar Road, The Gap, QLD  4061",No,No,,,,,,,,330198,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G25 L3 Removal of foyer reception desk,21/10/2019,13805,Amalgamated Property Maint. Gold Coast,"PO Box 965, Ashmore, QLD  4214",No,No,,,,,,,,330169,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Analytical Costs Oxygen Isotop,21/10/2019,11777,Australian National University,"Australian National University, Canberra, ACT  0200",No,No,,,,,,,,1814785,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111","G14, G30 & G31 Exterior Re-painting of Buildings",21/10/2019,329395,Higgins Coatings Pty Ltd,"3/6 Elysium Road, Carrara, QLD  4211",No,No,,,,,,,,330226,Building Construction and Maintenance,,,,
