Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,274890,A.G. Coombs Advisory Pty Ltd,"26 Cochranes Rd,  Moorabbin, Vic, 3189",No,No,,,,,,,,,354518,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,22259,A2K Technologies Pty Ltd,"62 Brandl Street,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,354525,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,12258,Bsg Brisbane Sound Group,"73 Toombul Road,  Northgate, Qld, 4013",No,No,,,,,,,,,354537,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,107210,Perkin Elmer Pty Ltd,"Po Box 5290, Brandon Park Post Shop Brandon Park, Vic, 3150",No,No,,,,,,,,,354520,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Project management services,1/07/2021,204160,Project Partners Corporation Pty Ltd,"Level 8, 82 Eagle Street Brisbane City, Qld, 4000",No,No,,,,,,,,,354519,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,36135,Sue Birch Consulting,Victoria,No,No,,,,,,,,,354517,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,13750,The Trustee For Rendell Family Trust,Victoria,No,No,,,,,,,,,354521,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Contractor payment,1/07/2021,13728,Victoria University,"Finance, Po Box 14428 Melbourne, Vic, 8001",No,No,,,,,,,,,1912152,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,2/07/2021,33000,Australian Academy Of Science,"Gpo Box 783,  Canberra, Act, 2601",No,No,,,,,,,,,1912457,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consumables,2/07/2021,11170,Becton Dickinson Pty Ltd,"69 Brandl Street,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,354578,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Refurbishment activities,2/07/2021,455926,Fitout And Refurbishment Australia Pty L,"Suite 2B, 8 Paxton St Springwood, Qld, 4127",No,No,,,,,,,,,354580,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Sponsorship,2/07/2021,22000,Griffithuni Surfers Paradise Rowing Club,"Po Box 8781,  Gcmc, Qld, 9726",No,No,,,,,,,,,354566,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,2/07/2021,11371,Heidi Louise Loveland,Brisbane Qld,No,No,,,,,,,,,1912511,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,2/07/2021,14114,Oxford Nanopore Technologies Ltd,"Gosling Building, Edmund Halley Road, Oxford Science Park Oxford, Oxon, Ox4 4Dq",No,No,,,,,,,,,354546,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,2/07/2021,99000,Racv Royal Pines Resort,"Pmb 88,  Gcmc, Qld, 9726",No,No,,,,,,,,,354543,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire & lease charges,2/07/2021,78980,Valiant Hire,"16/50 Parker Court,  Pinkenba, Qld, 4008",No,No,,,,,,,,,354559,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/07/2021,13637,Visual Science,Canada,No,No,,,,,,,,,354547,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,5/07/2021,47465,Bio-Strategy Pty Limited,"P.O Box 14,  Campbellfield, Vic, 3061",No,No,,,,,,,,,354590,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,5/07/2021,23862,Logical Line Marking,"18 Ferguson Street,  Underwood, Qld, 4119",No,No,,,,,,,,,354606,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,5/07/2021,13970,Mark Israel Consulting Pty Ltd,Western Australia,No,No,,,,,,,,,354591,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,6/07/2021,18390,All Purpose Removals,"Po Box 2,  Archerfield, Qld, 4108",No,No,,,,,,,,,354647,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,6/07/2021,64481,Clayton Utz,"Gpo Box 9806,  Canberra, Act, 2601",No,No,,,,,,,,,354649,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,6/07/2021,17972,Clear Mountain Health And Conference Cen,"564 Clear Mountain Road,  Cashmere, Qld, 4500",No,No,,,,,,,,,354655,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,6/07/2021,69168,Focus Bioscience Pty Ltd,"Po Box 6480,  St Lucia, Qld, 4067",No,No,,,,,,,,,354642,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,6/07/2021,13390,Instron A Division Of Itw Australia Pty,"15/15 Stud Road,  Bayswater, Vic, 3153",No,No,,,,,,,,,354654,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission payment,6/07/2021,20900,Kokos International Brisbane,"Suite 1E, Level 1 Brisbane, Qld, 4000",No,No,,,,,,,,,1912728,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,15375,Aleksander Braczkowski, South Africa,No,No,,,,,,,,,1912915,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,165000,Calibre Consulting Group,Brisbane,No,No,,,,,,,,,354717,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,13035,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354733,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,17754,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354734,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,17798,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354732,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,21956,Geleon Consulting,"Po Box 454,  Nerang, Qld, 4211",No,No,,,,,,,,,354711,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,21252,Geleon Consulting,"Po Box 454,  Nerang, Qld, 4211",No,No,,,,,,,,,354710,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,13637,Jai Clifford-Holmes,"Tokai, 7945",No,No,,,,,,,,,1912225,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,22000,Mates In Construction (Aust) Limited,"Po Box 1001,  Spring Hill, Qld, 4004",No,No,,,,,,,,,1912995,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,7/07/2021,63334,Mccullough Robertson Lawyers,"Po Box 1855,  Brisbane, Qld, 4001",No,No,,,,,,,,,1913014,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,13350,Myneo Nv,"Ottergemsesteenweg Zuid 808 B511,  Ghent, 9000",No,No,,,,,,,,,1912916,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,21951,Pitch Black Engineering,"Santos Place,, Level 27, 32 Turbot Street Brisbane, Qld, 4000",No,No,,,,,,,,,354722,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111","Honoraria, Sitting & Participation Fees",7/07/2021,65522,Research Foundation Of Cuny,"230 West 41St Street, 7Th Floor,  New York, Ny, 10036",No,No,,,,,,,,,1912222,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing & stationery,7/07/2021,22818,Securcom Pty Ltd,"Unit 79, 193 South Pine Road Brendale, Qld, 4500",No,No,,,,,,,,,354719,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,7/07/2021,34210,Seek Limited,"Gpo Box 2335,  Sydney, Nsw, 2001",No,No,,,,,,,,,354704,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,7/07/2021,44543,Sr Research Ltd,"35 Beaufort Drive,  Ottawa, On, K2L 2B9",No,No,,,,,,,,,354685,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Contractor payment,7/07/2021,33880,The Trustee For The Moloney Family Trust,Brisbane,No,No,,,,,,,,,354703,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Homestay Expenses,8/07/2021,3000000,Australian Homestay Network Pty Limited,"Toowong, Qld",No,No,Selective,,,,,,,,VP239650,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,8/07/2021,17820,Institute Of Managers And Leaders Ltd,"Gpo Box 2229,  Brisbane, Qld, 4000",No,No,,,,,,,,,1909478,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,8/07/2021,218680,Randstad Pty Limited,"Gpo Box 4640,  Sydney, Nsw, 2001",No,No,,,,,,,,,354746,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing & stationery,8/07/2021,10958,Unicard Systems Pty Ltd,"35/6 Herbert Street,  St Leonards, Nsw, 2065",No,No,,,,,,,,,354764,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,9/07/2021,11096,Gardner Denver Industries Pty Ltd,"Po Box 4508,  Dandenong South, Vic, 3164",No,No,,,,,,,,,354826,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,9/07/2021,18900,Helen Johnson,"Brisbane, Qld",No,No,,,,,,,,,1912907,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,9/07/2021,13024,Lightbox Architecture &Interiors Pty Ltd,"11 Dallas Parade,  Keperra, Qld, 4054",No,No,,,,,,,,,354831,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Training & development services,9/07/2021,15840,Software Education Australia Pty Ltd,"Gpo Box 1059,  Brisbane, Qld, 4001",No,No,,,,,,,,,354820,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Set pieces - Theatre performance,12/07/2021,22642,A Noble Event Australia,"Po Box 4314,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,354919,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,12/07/2021,16390,Bligh Tanner Pty Ltd,"Po Box 612,  Fortitude Valley, Qld, 4006",No,No,,,,,,,,,354878,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,12/07/2021,42128,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No,,,,,,,,,354868,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,12/07/2021,41814,Fast Proof Press Pty Ltd,"21/12 Lawrence Drive,  Nerang, Qld, 4211",No,No,,,,,,,,,354871,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,12/07/2021,36654,Gold Coast Convention & Exhibition Centr,"Po Box 1407,  Broadbeach, Qld, 4218",No,No,,,,,,,,,1913495,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,12/07/2021,16500,Griffith Uni Gold Coast Student Guild,"Po Box 96, Gold Coast Campus Griffith University, Qld, 4222",No,No,,,,,,,,,354863,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,12/07/2021,213400,Mediacom Australia Pty Ltd,"Level 17, 65 Berry Street North Sydney, Nsw, 2060",No,No,,,,,,,,,354899,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,12/07/2021,19062,Merck Pty Ltd,"Ground Floor, Building 1, 885 Mountain Highway Bayswater, Vic, 3153",No,No,,,,,,,,,354894,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire & lease charges,12/07/2021,13200,Queensland Performing Arts Trust,"Po Box 3567,  Sth Brisbane, Qld, 4101",No,No,,,,,,,,,354870,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,12/07/2021,36196,Richmond Signs & Designs,"1/15 Bailey Crescent,  Southport, Qld, 4215",No,No,,,,,,,,,354880,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,13/07/2021,188526,Laerdal Pty Ltd,"Po Box 52,  Oakleigh, Vic, 3166",No,No,,,,,,,,,GU-222,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,13/07/2021,25915,Monotype Limited,"Werner-Reimers-Strasse 2-4,  Bad Homburg, , 61352",No,No,,,,,,,,,354920,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consumables,13/07/2021,12089,Perkin Elmer Pty Ltd,"Po Box 5290, Brandon Park Post Shop Brandon Park, Vic, 3150",No,No,,,,,,,,,354949,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Training & development services,14/07/2021,112653,Nanjing University Of Chinese Medicine,"No.138 Xianlin Avenue, Qixia District Nanjing, 32, 210023",No,No,,,,,,,,,1913591,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,14/07/2021,20000,University Of The Philippines Visayas,"Villadolid Building, Upv Miagao Campus Miagao, Ili, 5023",No,No,,,,,,,,,354981,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Furniture,15/07/2021,19965,Abp Allboards P/L,"Po Box 197,  Carole Park, Qld, 4300",No,No,,,,,,,,,355038,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Contractor payment,15/07/2021,21093,Hexaware Technologies Limited,"Level 3, 80 Mount Street,  North Sydney, Nsw, 2060",No,No,,,,,,,,,355056,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,16/07/2021,12000,Arran King Design,Brisbane,No,No,,,,,,,,,1910798,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,16/07/2021,28805,Cbd Golf Pty Ltd,"Po Box 256, Rbh Po Herston, Qld, 4006",No,No,,,,,,,,,355541,,26154,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,16/07/2021,216249,Emc Global Holdings Company,"207 Pacific Highway,  St Leonards, Nsw, 2065",No,No,,,,,,,,,355135,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Vehicle Acquisition,16/07/2021,48666,Gold Coast Isuzu Ute,"126 Kingston Drive,  Arundel, Qld, 4215",No,No,,,,,,,,,355142,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,16/07/2021,11664,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No,,,,,,,,,355136,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,16/07/2021,12959,Sirva Relocation,"490 Freeman Road,  Richlands, Qld, 4077",No,No,,,,,,,,,355099,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,19/07/2021,12245,Optimum Control Technologies Pty Ltd,"9 Heather Rd, Heathfield Adelaide, Sa, 5153",No,No,,,,,,,,,355150,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,19/07/2021,98322,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No,,,,,,,,,355176,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,19/07/2021,25226,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No,,,,,,,,,355169,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,19/07/2021,151800,Turner & Townsend Pty Ltd,"Level 13, 140 Creek St,  Brisbane, Qld, 4000",No,No,,,,,,,,,355167,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,19/07/2021,25960,Utilitas Group Pty Ltd,"Po Box 1267, Shop 1/55 Railway Terrace Milton, Qld, 4064",No,No,,,,,,,,,355166,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,20/07/2021,11000,Catalysr Pty Ltd,"Level 2, 61-63 Dixon Street Sydney, Nsw, 2000",No,No,,,,,,,,,355211,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,20/07/2021,17872,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No,,,,,,,,,355241,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,20/07/2021,18300,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No,,,,,,,,,355239,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,20/07/2021,16819,Sdr Scientific,"206/354 Eastern Valley Way,  Chatswood, Nsw, 2067",No,No,,,,,,,,,355206,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Monitoring services,20/07/2021,12012,Securcom Pty Ltd,"Unit 79, 193 South Pine Road Brendale, Qld, 4500",No,No,,,,,,,,,355200,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,20/07/2021,46970,Spotless Facility Services Pty Ltd,"549 Saint Kilda Road,  Melbourne, Vic, 3004",No,No,,,,,,,,,355220,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,20/07/2021,13750,The Trustee For The Moreton Bay Foundati,"Po Box 3214,  Newstead, Qld, 4006",No,No,,,,,,,,,1914525,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,20/07/2021,29021,Yes Fire Pty Ltd,"Po Box 91,  West Burleigh, Qld, 4219",No,No,,,,,,,,,355221,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Set pieces - Theatre performance,21/07/2021,33029,A Noble Event Australia,"Po Box 4314,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,355298,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,21/07/2021,80520,Adventbalance,"Level 2, 222 Clarence Street Sydney, Nsw, 2000",No,No,,,,,,,,,355285,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consumables,21/07/2021,20117,Australian Dental Association (Qld Branc,"22-28 Hamilton Place,  Bowen Hills, Qld, 4006",No,No,,,,,,,,,1911642,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,21/07/2021,16500,Inov8 Design,Brisbane,No,No,,,,,,,,,355264,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,21/07/2021,17993,Laser Components Gmbh,"Werner-Von-Siemens-Strasse 15,  Olching, , 82140",No,No,,,,,,,,,355320,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,21/07/2021,109484,Materialise Nv,"Technologielaan 15 Leuven, , 3001",No,No,,,,,,,,,355283,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,21/07/2021,41113,Michael Page International,"Level 4, 110 George Street Parramatta, Nsw, 2150",No,No,,,,,,,,,355288,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,21/07/2021,23864,National Young Women'S Christian Ass,"119 Bogalayzay Street,  Yangon, , 11161",No,No,,,,,,,,,355284,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Project management services,21/07/2021,330000,Ranbury Management Group Pty Ltd,"Suite 2, Level 18, 270 Adelaide Street Brisbane, Qld, 4000",No,No,,,,,,,,,355286,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,21/07/2021,13582,Sagemotion,"Po Box 3121,  Kalispell, , 59903",No,No,,,,,,,,,355263,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,22/07/2021,31898,Bruker Pty Ltd,"Po Box 202,  Alexandria, Nsw, 1435",No,No,,,,,,,,,355342,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,22/07/2021,39644,Laerdal Pty Ltd,"Po Box 52,  Oakleigh, Vic, 3166",No,No,,,,,,,,,355331,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,22/07/2021,47514,Pitch Black Engineering,"Santos Place,, Level 27, 32 Turbot Street Brisbane, Qld, 4000",No,No,,,,,,,,,355345,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,22/07/2021,22643,Precise Air Group P/L,"Po Box 1859,  Springwood, Qld, 4128",No,No,,,,,,,,,355325,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Project management services,22/07/2021,26400,Qvc Solutions Pty Ltd,"320 Adelaide Street,  Brisbane, Qld, 4000",No,No,,,,,,,,,355340,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,22/07/2021,96102,Richmond Associates Australia Pty Ltd,"Level 6, 69-75 Reservoir Street Surry Hills, Nsw, 2010",No,No,,,,,,,,,355336,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,22/07/2021,21684,Videopro Pty Ltd,"37 Eagleview Place,  Eagle Farm, Qld, 4009",No,No,,,,,,,,,355364,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,23/07/2021,45227,Ana Carolina Cardoso De Sousa,Brazil,No,No,,,,,,,,,355386,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,23/07/2021,14193,Bio-Strategy Pty Limited,"P.O Box 14,  Campbellfield, Vic, 3061",No,No,,,,,,,,,355397,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,23/07/2021,535849,Digital Science & Research Solutions Inc,"625 Massachusetts Avenue, 2Nd Floor Cambridge, Ma, 02139",Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,355385 359416 366289 378078,,C01155,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,23/07/2021,80050,Higher Ed Services Pty Ltd,"Level 10, 210 Clarence Street,  Sydney, Nsw, 2000",No,No,,,,,,,,,355387,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,23/07/2021,45276,Special Broadcasting Service,"Locked Bag 028,  Crows Nest, Nsw, 1585",No,No,,,,,,,,,355383,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,24/07/2021,327436,Lexis Nexis,"Tower 2, 475-495 Victoria Avenue,  Chatswood, Nsw, 2067",No,No,,,,,,,,,1913869,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,25/07/2021,19540,Clayton Utz,"Gpo Box 9806,  Canberra, Act, 2601",No,No,,,,,,,,,1912738,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,26/07/2021,65230,Wise Sustainability Pty Ltd,"490 Northbourne Avenue,  Dickson, Act, 2602",No,No,,,,,,,,,355448,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,27/07/2021,1730195,Am Educon Service (Opc) Pvt Ltd,"3459-B, Sector-23 Haryana, 122017",Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,355537,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing fees,27/07/2021,14894,Richmond Signs & Designs,"1/15 Bailey Crescent,  Southport, Qld, 4215",No,No,,,,,,,,,355524,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,28/07/2021,23870,Cardinal Bio-Research Pty Ltd,"Po Box 1393,  New Farm, Qld, 4005",No,No,,,,,,,,,355542,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,28/07/2021,47174,Mccullough Robertson Lawyers,"Po Box 1855,  Brisbane, Qld, 4001",No,No,,,,,,,,,1913015,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Refurbishment activities,29/07/2021,10415,A1 Building & Property Solutions Pty Ltd,"3 D'Aguilar Road,  The Gap, Qld, 4061",No,No,,,,,,,,,355610,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,29/07/2021,25641,Emanate Technology Qld Pty Ltd,"Wework, Level 6, 123 Eagle Street,  Brisbane, Qld, 4000",No,No,,,,,,,,,1914443,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Training & development services,29/07/2021,75838,Kylie Denton Business Coaching,Brisbane,No,No,,,,,,,,,355616,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,29/07/2021,122650,Lee Hecht Harrison Pty Ltd,"4/135 Wickham Terrace,  Spring Hill, Qld, 4000",No,No,,,,,,,,,355615,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,29/07/2021,14097,Mojo Media Solutions,"9 Foley Place,  Castle Hill, Nsw, 2154",No,No,,,,,,,,,355638,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/License Fees,30/07/2021,23650,Cut-E Australia,"Level 33, 201 Kent Street,  Sydney, Qld, 2000",No,No,,,,,,,,,355658,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,30/07/2021,21720,Data #3 Limited,"Po Box 551,  Indooroopilly, Qld, 4068",No,No,,,,,,,,,355697,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Monitoring services,30/07/2021,57006,Dewpoint Air,"Po Box 3479,  Newmarket, Qld, 4051",No,No,,,,,,,,,355694,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/07/2021,41800,Dyanata Global AU Pty Ltd,"Level 11, 131 York Street, Sydney  Nsw 2000",No,No,,,,,,,,,1914313,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Training & development services,30/07/2021,47630,Epic Agile,"39 Bayview Crescent,  Black Rock, Vic, 3193",No,No,,,,,,,,,355671,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission payment,30/07/2021,60500,Expert Education And Visa Services,"Level 6, 263 Clarence Street Sydney, Nsw, 2000",No,No,,,,,,,,,1916148,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Training & development services,30/07/2021,12073,Holistic Services Group Pty Ltd,"Po Box 4027,  Castlecrag, Nsw, 2068",No,No,,,,,,,,,355659,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment/Placement Fees,30/07/2021,9500000,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",Yes,No,Selective,,,,,,,,4667-2023,,,,,,
